runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;6872.21;10947.56;0;0;0
NA;2;16368.34;28593.59;0;0;0
NA;3;28561.71;37352.89;0;0;0
NA;4;36346.83;39960.63;0;0;0
NA;5;37163.73;40642.72;0;0;0
NA;6;40602.21;38512.39;0;0;0
NA;7;38421.71;35460.14;0;0;0
NA;8;23649.36;33636.6;0;0;0
NA;9;27750.08;37912.25;0;0;0
NA;10;26431.23;37995.35;0;0;0
NA;11;27463.57;45915.13;0;0;0
NA;12;30861.91;52507.72;0;0;0
NA;13;31660.21;63706.61;0;0;0
NA;14;33440.85;70009.16;0;0;0
NA;15;37849.01;64189.56;2328.21;0;0
NA;16;40515.03;70308.07;0;0;0
NA;17;37075.01;62197.87;0;0;0
NA;18;42844.04;65839.99;0;0;0
NA;19;37049.42;57677.42;0;0;0
NA;20;33280.08;59680.27;0;0;0
NA;21;32931.04;51545.99;0;0;0
NA;22;30459.29;45006.28;0;0;0
NA;23;31661.36;57428.21;0;0;0
NA;24;32630.62;64328.64;0;0;0
NA;25;30185.87;66031.43;0;0;0
