runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;25715.52;19459.58;0;0;0
NA;2;42556.82;33563.59;0;0;0
NA;3;61274.59;46772.2;1128.2;0;0
NA;4;79504.82;76289.78;1657.46;0;0
NA;5;62307.98;61676.92;2693.4;0;0
NA;6;61412.91;64568.11;2671.21;0;0
NA;7;63097.36;55871.62;21289.25;1628.29;0
NA;8;76721.07;73605.93;24415.43;1610.36;0
NA;9;78467.09;82482.8;26174.38;1610.36;0
NA;10;83384.51;128681.05;6286.55;0;0
NA;11;93495.87;94556.49;3736.75;0;0
NA;12;78669.38;78263.57;426.78;0;0
NA;13;102405.99;128460.91;5866.2;0;0
NA;14;119862.33;105090.91;0;0;0
NA;15;129148.04;143189.51;10702.39;0;0
NA;16;94276.57;99625.34;1590.99;0;0
NA;17;95848.9;122373.55;6453.85;0;0
NA;18;81130.7;104993.11;14908.43;1825.54;0
NA;19;85440.37;103475.92;1947.46;0;0
NA;20;115396.21;118449.5;4107.36;0;0
