RequestId;actualWaitTime;estimatedWaitTime;deviate
drtA_199;367.0;358.79455139253696;8.20544860746304
drtA_111;302.0;298.416519492901;3.5834805070990114
drtA_232;177.0;168.79485178047617;8.205148219523835
drtA_110;392.0;375.19268585597456;16.80731414402544
drtA_231;350.0;259.2522203094413;90.74777969055867
drtA_113;554.0;545.1574925629393;8.842507437060704
drtA_112;590.0;512.8919903998176;77.10800960018241
drtA_233;464.0;442.62629903748166;21.373700962518342
drtA_195;600.0;570.861424562725;29.138575437274994
drtA_194;291.0;284.27714831149206;6.722851688507944
drtA_197;199.0;193.72994100699725;5.270058993002749
drtA_50;360.0;339.94864912494086;20.051350875059143
drtA_196;537.0;523.183297410782;13.816702589218039
drtA_191;540.0;537.4936963623477;2.5063036376523087
drtA_193;222.0;181.84162333910353;40.158376660896465
drtA_192;151.0;143.8196689686447;7.180331031355308
drtA_49;187.0;181.50405433994456;5.49594566005544
drtA_48;304.0;294.24590713392536;9.754092866074643
drtA_41;326.0;313.3795872718838;12.620412728116207
drtA_40;484.0;320.0590150742428;163.94098492575722
drtA_43;221.0;213.0767160229443;7.923283977055689
drtA_42;277.0;272.8733366699962;4.126663330003794
drtA_45;236.0;230.08194507874578;5.918054921254225
drtA_115;225.0;218.86804055525135;6.131959444748645
drtA_44;303.0;295.51962475528853;7.4803752447114675
drtA_114;626.0;221.17923309248;404.82076690752
drtA_235;522.0;491.75045969718485;30.24954030281515
drtA_47;351.0;341.8097068782299;9.190293121770083
drtA_117;505.0;494.1391809945053;10.860819005494704
drtA_46;219.0;212.21442455724173;6.785575442758272
drtA_116;504.0;479.0556782977146;24.94432170228538
drtA_100;549.0;433.3475922825455;115.65240771745448
drtA_221;579.0;543.9379224404111;35.06207755958894
drtA_220;261.0;246.49058367828547;14.509416321714525
drtA_102;455.0;358.71028278909216;96.28971721090784
drtA_101;535.0;529.7647125319272;5.235287468072784
drtA_186;937.0;512.6469050946907;424.35309490530926
drtA_180;592.0;561.8666219169972;30.133378083002754
drtA_182;547.0;515.8010729739472;31.198927026052843
drtA_38;362.0;349.52616129507805;12.473838704921945
drtA_37;279.0;259.6701300054192;19.329869994580804
drtA_39;253.0;242.53910744725;10.46089255275001
drtA_30;341.0;323.0408708634641;17.95912913653592
drtA_108;461.0;299.69181905711594;161.30818094288406
drtA_229;588.0;559.0935209308809;28.906479069119086
drtA_107;272.0;263.09798018753645;8.90201981246355
drtA_32;148.0;145.4615685437675;2.5384314562325017
drtA_31;568.0;501.2758679306062;66.72413206939382
drtA_109;333.0;337.5933589694323;-4.593358969432302
drtA_34;278.0;263.7212970831388;14.27870291686122
drtA_104;643.0;537.5964806812117;105.40351931878831
drtA_33;139.0;134.90919195557944;4.090808044420555
drtA_103;572.0;552.5654687132555;19.43453128674446
drtA_36;232.0;224.22102559424093;7.778974405759072
drtA_106;539.0;478.38593841580587;60.61406158419413
drtA_227;409.0;388.43375924830616;20.56624075169384
drtA_35;123.0;119.38739336780418;3.6126066321958206
drtA_133;552.0;483.2106320904859;68.78936790951411
drtA_132;472.0;458.65027358695806;13.349726413041935
drtA_135;609.0;568.546051241603;40.45394875839702
drtA_134;384.0;379.8210557264392;4.178944273560774
drtA_131;385.0;369.49206595098076;15.50793404901924
drtA_130;414.0;291.3399755132705;122.66002448672953
drtA_27;132.0;126.41527133914497;5.584728660855035
drtA_26;203.0;200.1532282427288;2.846771757271199
drtA_29;562.0;532.1871007389927;29.81289926100726
drtA_20;148.0;145.89063923939102;2.109360760608979
drtA_23;172.0;169.45580996338686;2.544190036613145
drtA_137;613.0;579.1023088514048;33.897691148595186
drtA_22;484.0;450.35368132080475;33.64631867919525
drtA_136;626.0;597.37607530065;28.623924699350027
drtA_25;179.0;175.29894392472488;3.701056075275119
drtA_139;554.0;467.48632791537966;86.51367208462034
drtA_24;506.0;431.0133351505574;74.9866648494426
drtA_138;341.0;283.5375004145317;57.46249958546832
drtA_122;537.0;533.2579837544617;3.7420162455382524
drtA_121;502.0;481.8877005054819;20.112299494518084
drtA_124;616.0;585.4482223999657;30.551777600034256
drtA_123;476.0;449.8040231865016;26.19597681349842
drtA_120;335.0;335.52628299847856;-0.526282998478564
drtA_0;359.0;340.76331458945424;18.23668541054576
drtA_1;168.0;165.07212625483794;2.92787374516206
drtA_2;480.0;463.58239060347387;16.41760939652613
drtA_3;282.0;273.15340986834644;8.846590131653556
drtA_4;223.0;223.02939648697202;-0.029396486972018465
drtA_16;282.0;278.10808437920423;3.8919156207957712
drtA_5;162.0;157.38267417766292;4.617325822337079
drtA_15;71.0;70.81267788934201;0.18732211065798765
drtA_6;385.0;375.7277028075732;9.272297192426777
drtA_18;292.0;285.4202514097706;6.579748590229428
drtA_7;223.0;215.3516246715144;7.648375328485599
drtA_17;269.0;256.6182957007586;12.381704299241392
drtA_8;425.0;416.4552421038625;8.544757896137526
drtA_9;399.0;396.3503040357209;2.64969596427909
drtA_19;132.0;130.1999880876465;1.8000119123535114
drtA_96;457.0;451.2616124327178;5.738387567282189
drtA_95;286.0;272.97171941617125;13.028280583828746
drtA_129;551.0;300.4728908867837;250.52710911321628
drtA_98;411.0;393.3854801703783;17.614519829621713
drtA_97;297.0;290.49709575450834;6.5029042454916635
drtA_12;93.0;91.50885731553717;1.4911426844628295
drtA_126;382.0;360.2767790063954;21.723220993604627
drtA_99;665.0;582.482773494703;82.517226505297
drtA_11;207.0;205.7070571292934;1.2929428707066108
drtA_125;446.0;419.5297744128329;26.47022558716708
drtA_14;180.0;177.69125166979939;2.308748330200615
