time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
64831.0;32094050151-5;753249007_0;235444044_4;359812.29680271354;3936052.8361486467;359291.4908831237;3936399.951575605
66648.0;42033020262-2;146854331_1;367640829_0;349804.3342635346;3918657.2059152042;350765.7517217282;3914712.1846829727
42504.0;61375032942-2;145660468_6;221078664_1;364363.20423167734;3938029.43819586;364199.714372825;3938136.2024038252
65773.0;44024000273-3;380067160_0_r;194936685_0_r;346007.3052137701;3927967.2203952963;350102.9105318348;3924858.397110292
41433.0;32093031302-2;222840339_0;163168287_5;361469.69519461953;3933599.6462663077;361059.7699014554;3934128.2893856512
41840.0;44014000581-1;290934244_0;241782354_3;348711.4545710798;3934497.914528519;353921.22672413196;3924509.7010994162
62453.0;42142011132-2;130549589_1;46888493_2;347526.2829330277;3918113.116590544;347063.5161640458;3918795.2932221647
52221.0;32094049171-4;37112728_0_r;153175280_0;362206.50172997173;3938746.149166133;362494.1139470546;3938924.9377563423
36028.0;91533005441-1;150719462_4;166961996_2;357574.8261972685;3933882.6147686043;356010.3990410754;3931837.6233085217
61275.0;32097073094-4;143582053_0;969559379_1;360709.18207887496;3932394.4487748067;360258.416554263;3931900.163931219
85294.0;42114000601-4;448011843_0;772788076_0_r;365000.3741895162;3937554.1623720005;341472.4243965911;3913197.139326033
62410.0;42142006611-6;112757199_1;309894566_0;344702.5083742032;3918801.5226415694;346761.76720760134;3918238.866647793
35121.0;42124024213-1;570354684_0;46907157_6;348291.5986809933;3928974.210095241;352832.8788315782;3922537.4057498747
54023.0;42113011312-2;1042747061_1;197515789_4;347946.040469949;3914021.1653600615;344171.9660073533;3916828.5229745456
39633.0;42167018831-1;636657118_0_r;598658745_3;355958.27634363854;3930413.808056616;356166.34365261474;3929856.3959927894
64507.0;42125015043-2;311917634_0_r;501019929_0_r;351661.11202038126;3920903.9002138404;350957.80425310717;3919532.747597
64822.0;32094022972-2;237411214_13;143564421_0;361639.4334618621;3934475.782916759;361812.34105812886;3932444.536057859
52465.0;32097076601-2;923042064_0;1120622156_0_r;361660.9016845958;3933542.719767286;360874.26181239507;3932505.8523050374
39606.0;32094033152-1;222367861_0_r;222840256_0;360944.95226811117;3934552.380993111;361378.3770919533;3933493.9334842977
77497.0;91534010464-2;252398991_0_r;1177902285_0;345131.7301663271;3942412.508423731;356775.26272697106;3936119.872135303
79297.0;32094038154-2;252398991_0_r;37230070_1;345131.7301663271;3942412.508423731;359563.06072418275;3935369.769093128
50173.0;32094006854-2;189330545_4;150612626_1;360318.0669514672;3937267.6974893967;359891.13713186595;3937161.21319264
79248.0;42125011841-3;710095368_0;312419754_2;350960.3605018861;3921405.4441503207;350180.8379044479;3927051.537335157
24035.0;32093032783-1;107465015_3;142122399_3;361749.17460359144;3935790.9429042344;361751.56975768413;3935587.874952568
31224.0;91533020441-1;131924837_1;1182828131_0_r;358905.29790305556;3933216.8007530053;358206.82697939046;3934008.128434363
27938.0;42142004674-1;130539547_0;166128808_0;348546.4305465063;3920499.0381306657;348069.0972920953;3919898.739022645
27970.0;42033022503-1;310673059_0;39087401_2;350330.3600401088;3914091.3405434676;350632.2992223564;3919875.42247648
29113.0;91536014361-1;143948961_0_r;191736804_0_r;358921.4370993568;3932159.3881645105;358653.27698103455;3930236.234110854
70249.0;31157101752-2;317592696_0;165026204_0;340728.8167887366;3911426.624748478;362886.1496617326;3939726.432379771
42910.0;31092050751-1;203134971_0;317592699_0_r;365024.33688983944;3937489.24135971;340641.5177560102;3912661.1742975526
42921.0;91534021281-3;152610449_4;152610395_0;356240.0204096197;3935287.603881818;355654.81182210124;3935365.566704766
69682.0;42141005701-2;626893500_1;110008923_0_r;347120.2423721404;3919484.1912704655;347029.2323604532;3917787.837958407
59563.0;91533019403-2;150859599_3;150719245_3;354105.00441762106;3935505.010554745;356326.175534852;3934937.6048413594
46830.0;91531008271-1;707117825_0;1188545319_0;358138.12036161416;3933568.0251089213;356633.00423450395;3935546.1870434037
46844.0;42155000211-7;313032375_0;368554302_0;354353.2595162141;3920677.0768985357;354512.13433386106;3921611.4289092384
30930.0;42132022441-1;26300800_0;199581523_3;359220.91545622854;3930200.6216644133;358531.76948451845;3930553.6321287234
43963.0;42164016893-2;663149248_0;150512951_10_r;347360.9591648022;3941513.186716722;355655.1433205829;3927080.6869220105
72037.0;42167021442-2;252398991_0_r;133369715_0_r;345131.7301663271;3942412.508423731;355674.37440668885;3927787.214923336
30568.0;44023000305-1;380067160_0_r;380373751_2;346007.3052137701;3927967.2203952963;351321.5058644685;3923459.531159941
