timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
06:00:00;1;300;300;300;300;300;300;300;300
06:30:00;1;421;421;421;421;421;421;421;421
07:00:00;0;0;0;0;0;0;0;0;0
07:30:00;0;0;0;0;0;0;0;0;0
08:00:00;0;0;0;0;0;0;0;0;0
08:30:00;2;515;500;500;500;515;530;530;530
09:00:00;1;425;425;425;425;425;425;425;425
09:30:00;5;404.4;263;263;294;422;506;564;564
10:00:00;3;500.33;415;415;415;509;577;577;577
10:30:00;0;0;0;0;0;0;0;0;0
11:00:00;5;258;91;91;124;290;376;461;461
11:30:00;1;593;593;593;593;593;593;593;593
12:00:00;2;365;246;246;246;365;484;484;484
12:30:00;0;0;0;0;0;0;0;0;0
13:00:00;3;285.67;205;205;205;275;377;377;377
13:30:00;3;388;304;304;304;394;466;466;466
14:00:00;2;503.5;502;502;502;503.5;505;505;505
14:30:00;5;444.8;136;136;261.5;521;590;594;594
15:00:00;6;420.5;273;273;310.5;452;497.75;539;539
15:30:00;2;365.5;362;362;362;365.5;369;369;369
16:00:00;2;315;246;246;246;315;384;384;384
16:30:00;1;240;240;240;240;240;240;240;240
17:00:00;2;500.5;281;281;281;500.5;720;720;720
17:30:00;1;574;574;574;574;574;574;574;574
18:00:00;0;0;0;0;0;0;0;0;0
18:30:00;4;313.75;176;176;187.25;310.5;443.5;458;458
19:00:00;2;439.5;389;389;389;439.5;490;490;490
19:30:00;2;516.5;444;444;444;516.5;589;589;589
20:00:00;0;0;0;0;0;0;0;0;0
20:30:00;0;0;0;0;0;0;0;0;0
21:00:00;2;290;203;203;203;290;377;377;377
