runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;3;0;0;NaN;0;0;0;0;NaN;NaN;1;3
NA;1;3;10775.67;1137.63;0.11;9638.04;3591.89;379.21;3212.68;0.89;1.12;0.67;2
NA;2;3;23263.4;8005.85;0.34;15257.55;7754.47;2668.62;5085.85;0.66;1.52;0.67;2
NA;3;3;49660.6;25897.26;0.52;23763.34;16553.53;8632.42;7921.11;0.48;2.09;0.67;2
NA;4;3;70538.51;38745.47;0.55;31793.05;23512.84;12915.16;10597.68;0.45;2.22;0.67;2
NA;5;3;90622.75;45937.32;0.51;44685.43;30207.58;15312.44;14895.14;0.49;2.03;0.53;1.59
NA;6;3;140745.74;73144.64;0.52;67601.1;46915.25;24381.55;22533.7;0.48;2.08;0.53;1.59
NA;7;3;107343.5;46322.84;0.43;61020.66;35781.17;15440.95;20340.22;0.57;1.76;0.33;1
NA;8;3;114745.71;49704.03;0.43;65041.68;38248.57;16568.01;21680.56;0.57;1.77;0.33;1
NA;9;3;128597.42;53720.6;0.42;74876.82;42865.81;17906.87;24958.94;0.58;1.72;0.33;1
NA;10;3;123660.34;42208.22;0.34;86759.57;41220.11;14069.41;28919.86;0.7;1.81;0.59;1.76
NA;11;3;140068.5;51875.25;0.37;93500.7;46689.5;17291.75;31166.9;0.67;1.87;0.43;1.29
NA;12;3;199937.56;86131.34;0.43;113806.22;66645.85;28710.45;37935.41;0.57;1.76;0.03;0.09
NA;13;3;175286.08;81836.73;0.47;93449.34;58428.69;27278.91;31149.78;0.53;1.88;0.05;0.15
NA;14;3;158921.05;75555.08;0.48;83365.97;52973.68;25185.03;27788.66;0.52;1.91;0.33;1
NA;15;3;192790.9;86410.12;0.45;112708.38;64263.63;28803.37;37569.46;0.58;1.89;0.02;0.07
NA;16;3;172973.3;70332.14;0.41;111856.69;57657.77;23444.05;37285.56;0.65;1.68;0.33;1
NA;17;3;169929.82;46503.41;0.27;140997.26;56643.27;15501.14;46999.09;0.83;1.81;0.35;1.06
NA;18;3;199226.18;69371.6;0.35;144403.76;66408.73;23123.87;48134.59;0.72;1.68;0;0
NA;19;3;165893.78;37321.15;0.22;160396.16;55297.93;12440.38;53465.39;0.97;1.61;0.33;1
NA;20;3;142404.92;58271.2;0.41;91391.65;47468.31;19423.73;30463.88;0.64;1.72;0.41;1.23
