timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
07:30:00;1;472;472;472;472;472;472;472;472
08:00:00;0;0;0;0;0;0;0;0;0
08:30:00;0;0;0;0;0;0;0;0;0
09:00:00;0;0;0;0;0;0;0;0;0
09:30:00;1;507;507;507;507;507;507;507;507
10:00:00;0;0;0;0;0;0;0;0;0
10:30:00;1;376;376;376;376;376;376;376;376
11:00:00;0;0;0;0;0;0;0;0;0
11:30:00;0;0;0;0;0;0;0;0;0
12:00:00;0;0;0;0;0;0;0;0;0
12:30:00;0;0;0;0;0;0;0;0;0
13:00:00;0;0;0;0;0;0;0;0;0
13:30:00;0;0;0;0;0;0;0;0;0
14:00:00;1;198;198;198;198;198;198;198;198
14:30:00;0;0;0;0;0;0;0;0;0
15:00:00;1;358;358;358;358;358;358;358;358
15:30:00;1;464;464;464;464;464;464;464;464
16:00:00;2;355.5;329;329;329;355.5;382;382;382
16:30:00;2;380;314;314;314;380;446;446;446
17:00:00;0;0;0;0;0;0;0;0;0
17:30:00;0;0;0;0;0;0;0;0;0
18:00:00;1;675;675;675;675;675;675;675;675
18:30:00;0;0;0;0;0;0;0;0;0
19:00:00;0;0;0;0;0;0;0;0;0
19:30:00;0;0;0;0;0;0;0;0;0
20:00:00;0;0;0;0;0;0;0;0;0
20:30:00;1;353;353;353;353;353;353;353;353
