runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;1137.63;9638.04;0;0;0
NA;2;8005.85;15257.55;0;0;0
NA;3;25897.26;23763.34;0;0;0
NA;4;38745.47;31793.05;0;0;0
NA;5;45937.32;44685.43;0;0;0
NA;6;73144.64;67601.1;0;0;0
NA;7;46322.84;61020.66;0;0;0
NA;8;49704.03;65041.68;0;0;0
NA;9;53720.6;74876.82;0;0;0
NA;10;42208.22;76144.66;5307.45;0;0
NA;11;51875.25;82885.79;5307.45;0;0
NA;12;86131.34;113806.22;0;0;0
NA;13;81836.73;93449.34;0;0;0
NA;14;75555.08;83365.97;0;0;0
NA;15;86410.12;100053.18;6327.6;0;0
NA;16;70332.14;94838.1;6390.59;1412.47;0
NA;17;46503.41;105855.56;17570.85;0;0
NA;18;69371.6;116717.87;11724.25;1412.47;0
NA;19;37321.15;99161.48;26998.77;2412.38;0
NA;20;58271.2;78288.26;4432.99;1412.47;0
