runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;120902.32;475140.17;43648.62;16423.78;0
NA;2;212862.3;698438.68;213486.72;123293.18;57957.32
NA;3;280497.62;824017.43;262778.24;168308.22;69703.43
NA;4;285688.85;936940.62;352138.41;155896.81;72453.61
NA;5;304542.67;908213.56;388765.39;191009.09;57743.61
NA;6;347698.66;1048626.25;337120.69;153440.45;66743.1
NA;7;349861.23;1004993.31;358162.82;207553.34;86686.53
NA;8;345076.72;1067800.82;394726.93;218535.72;158920.35
NA;9;389988.41;1105134.41;388527.31;311721.93;137523.04
NA;10;409663.29;1201694.65;455615.41;265315.06;99928.31
NA;11;392105.94;1153631.77;480026.71;209917.49;104554.17
NA;12;334325.2;1082710.73;401867.01;176813.34;93626.89
NA;13;339392.76;1067188.83;402245.48;188599.48;97187.25
NA;14;376937.77;1007343.54;474968.49;239521.47;83839.7
NA;15;361715.26;1069823.21;414883.54;228833.62;101010.67
NA;16;312722.49;973007.68;464627.99;280150.47;156543.07
NA;17;328032.82;1033017.03;531459.92;264030.76;113856.76
NA;18;424349.46;1197208.41;465381.61;241907.08;100121.53
NA;19;358380.55;1108407.83;498975.27;266355.63;135742.35
NA;20;342246.52;1038211.07;496411.6;293436.87;100188.99
