RequestId;actualWaitTime;estimatedWaitTime;deviate
drtB_60;273.0;265.7143124564609;7.2856875435390975
drtB_17;564.0;465.4556726038645;98.54432739613549
drtB_16;422.0;407.0735317999861;14.926468200013915
drtB_18;263.0;256.41615800357977;6.583841996420233
drtB_53;586.0;563.5818568276954;22.418143172304553
drtB_52;521.0;500.2586278706367;20.7413721293633
drtB_55;423.0;411.5857425710419;11.41425742895808
drtB_10;530.0;522.4784363887084;7.52156361129164
drtB_57;323.0;315.0692713013268;7.930728698673192
drtB_12;500.0;485.82355839039883;14.17644160960117
drtB_56;539.0;520.0922064898332;18.90779351016681
drtB_15;425.0;412.7179155923586;12.282084407641378
drtB_59;484.0;483.81547400922136;0.18452599077863852
drtB_58;481.0;453.3941196434607;27.605880356539274
drtB_91;203.0;193.27152161720733;9.728478382792673
drtB_51;387.0;379.5253818623678;7.474618137632206
drtB_50;136.0;133.5759960714713;2.424003928528691
drtB_0;300.0;294.1034638618148;5.8965361381851835
drtB_1;421.0;405.21726744803163;15.782732551968365
drtB_86;589.0;560.829094393921;28.17090560607903
drtB_42;304.0;296.61812828996335;7.381871710036648
drtB_85;444.0;430.34518937117537;13.654810628824634
drtB_41;275.0;267.3239812304746;7.676018769525399
drtB_44;394.0;385.14764542653575;8.852354573464254
drtB_43;466.0;451.7493077575127;14.250692242487276
drtB_46;505.0;489.36646538775676;15.633534612243238
drtB_89;377.0;362.08262116403785;14.917378835962154
drtB_48;594.0;577.8349729334295;16.165027066570474
drtB_47;502.0;490.49844763372676;11.501552366273245
drtB_80;458.0;453.9820380571473;4.017961942852708
drtB_81;221.0;223.98105558902898;-2.9810555890289834
drtB_84;389.0;372.8559753967711;16.1440246032289
drtB_40;205.0;198.59949065152614;6.400509348473861
drtB_83;490.0;397.97322144327336;92.02677855672664
drtB_39;377.0;359.05872730300325;17.941272696996748
drtB_31;593.0;579.0668547842943;13.933145215705736
drtB_30;157.0;160.57824922403233;-3.5782492240323336
drtB_79;176.0;176.30449330252304;-0.3044933025230421
drtB_78;400.0;375.0482599745301;24.951740025469917
drtB_34;484.0;463.7152517583381;20.284748241661873
drtB_36;246.0;227.5693874729768;18.430612527023186
drtB_71;281.0;276.29469419466477;4.705305805335229
drtB_70;720.0;537.4288984159721;182.57110158402793
drtB_72;574.0;553.3978642090515;20.602135790948523
drtB_28;291.0;286.8995711816315;4.100428818368528
drtB_27;290.0;281.40462545686023;8.59537454313977
drtB_29;461.0;442.7946645464908;18.20533545350918
drtB_20;325.0;317.9870476056458;7.012952394354215
drtB_63;362.0;329.43072901302367;32.569270986976335
drtB_22;577.0;561.7550123220863;15.244987677913741
drtB_65;369.0;357.9542553795691;11.045744620430924
drtB_21;448.0;432.0844697126231;15.915530287376896
drtB_68;384.0;368.77405980179174;15.225940198208264
drtB_24;415.0;382.6561613223603;32.343838677639724
drtB_67;246.0;240.23055119485798;5.769448805142019
drtB_23;509.0;485.24569305100886;23.754306948991143
drtB_26;91.0;90.14471375184075;0.8552862481592456
drtB_69;240.0;243.71377530403697;-3.7137753040369716
