time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
25261.0;43614000813-1;317379237_0;166177967_1;337574.0183468093;3913427.237911993;349267.747877929;3919327.0172851128
29722.0;42113009615-1;317402044_2;80141690_1;340461.1738696981;3916651.8306785636;339433.7795698942;3916267.648755757
32218.0;42173002782-1;136560095_0;1203892567_1;324838.3947318762;3912888.589043825;331208.8191192264;3913067.982218193
72935.0;42114019722-4;205061632_7;544259254_4;335111.17459731747;3916614.2312665605;339178.708198944;3916431.4430815484
57636.0;42113008871-2;716990826_0_r;638328022_0;338415.7773547765;3909199.372310515;340781.51595753175;3914712.4123906377
32441.0;42114021423-4;669636570_0;205010410_0_r;333754.69402479404;3919506.9578808597;337543.74269251333;3916107.708111462
36007.0;42113016712-1;554001016_0_r;316805898_2;337243.2992501883;3915206.6886007036;336026.5112595222;3917360.0323764323
36019.0;42113012931-1;556376260_0_r;1032443477_0;338626.9390913276;3913940.144266146;339024.7832403439;3915546.3490771265
36619.0;42113012932-1;556376260_0_r;711146482_0;338626.9390913276;3913940.144266146;343455.38165922096;3916758.7851134124
43241.0;42113010532-2;669636570_0;200735038_6;333754.69402479404;3919506.9578808597;343403.00457532145;3916224.2360528614
37233.0;42113006371-2;317117555_2;316820554_0_r;335109.8215239434;3917143.120243536;334414.9954109832;3916396.370620583
48626.0;42118023261-2;558090070_1;316021084_0;339134.26370029297;3916367.06286572;339682.75374262966;3914735.6312952433
60624.0;42118023051-4;291756521_0;317366983_0_r;335013.5153697139;3916245.664758326;334814.2712396948;3915461.7262198767
37828.0;42114010244-1;200735038_0;693131399_0;343288.536491961;3916255.2014045194;343570.2403823722;3916585.672281864
57670.0;91535014511-3;711324601_0_r;169690762_0_r;322994.9647054006;3924090.237829993;348529.9498298591;3921312.199407021
52218.0;42113014911-2;1158171282_1;195745625_0_r;320553.9641905348;3916155.320566082;342746.6690333461;3915015.482464974
64950.0;42063032812-3;816195758_0_r;180581580_4;331895.53344778344;3909270.0270081214;332649.28304592776;3910150.3806962064
52218.0;42113014912-2;1158171282_1;195745625_0_r;320553.9641905348;3916155.320566082;342746.6690333461;3915015.482464974
61273.0;43614001033-2;205176345_2;318370328_1;339984.2713034488;3916465.727674627;338114.76787054754;3910745.2209184538
