time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
73831.0;31124069651-2;922476295_0;165936709_0_r;383116.1263888893;3946816.046998059;376873.8974941567;3947808.3932238244
82248.0;31107038111-4;856631371_39;116837748_0_r;388536.11353367416;3948257.1238213675;381245.77519954497;3946375.870850005
68437.0;31143040474-2;1139284719_1;149740929_0;388813.78477946064;3949022.7980879596;380018.8313371661;3951216.2904104707
81058.0;31171037691-2;1214088493_0;28019877_0;382821.33648811124;3950573.135683054;384980.2029175402;3958926.5372407143
68429.0;31157264561-2;924743229_0;108042807_1;386088.72491978004;3948075.00378864;378847.6938516146;3950334.078159902
72084.0;31046012351-3;245926142_2;39655719_0;382682.11823616765;3950510.596067843;384852.79195078445;3950957.8035293585
64848.0;31157250981-2;381689878_0;112451046_0;382304.0133287852;3950530.9175713677;375556.86480565416;3952995.9643355235
64835.0;31154068112-2;53154970_2;407483600_0;382564.8752518639;3949921.0705633885;377912.38796481886;3950845.522180789
85289.0;31123013361-4;233692506_0;282583313_0;387061.8334134064;3950986.574414976;374799.2022588941;3945472.0408668946
68446.0;31124101511-3;240595360_2;282583315_1;388187.4437298933;3948220.1899948823;375158.55623738695;3947205.917117934
68438.0;31081036661-2;153989316_2;1137227887_0;383538.234586045;3950203.474306995;391787.60609104426;3945498.5744929896
85819.0;31063040262-4;41857203_1;875382228_2;383398.1789527335;3947491.4317536843;390089.65412200266;3953385.5300166565
85531.0;32084002991-7;60659451_0;30969999_17;389486.4090257114;3949407.1270439737;372166.183824371;3944773.6858902685
72067.0;31127124141-2;23579065_2;116429937_0;388151.1487740319;3949998.528424233;378861.3592128069;3944568.9043129175
72053.0;61357051451-2;240388169_2;149603395_1;388526.5058286764;3948741.9495130614;372612.4253473129;3942279.796764373
79238.0;31124066731-2;254304963_1;170179804_1;388148.6280362113;3951074.1842071167;373319.8960159455;3945961.691737671
72073.0;31157258891-4;760594795_0;30976441_4;381261.143806534;3949566.3546361364;377412.65786249813;3949378.7336476916
79235.0;31193098902-3;53154970_2;114494418_0;382564.8752518639;3949921.0705633885;382019.98300866527;3955877.4125827556
72035.0;31046018331-3;53154970_2;64153894_0;382564.8752518639;3949921.0705633885;381030.08616967004;3952762.005539817
66662.0;31123005921-3;145405919_0;534412966_0_r;387993.135946212;3949384.2873975933;389923.30543886754;3951191.247434881
72033.0;32132018671-2;658485462_0_r;1203906527_0;387695.54785351467;3947314.5742714936;382496.50097719196;3950504.39600787
72039.0;31132013411-2;696269484_0_r;141293465_0;388458.2916605563;3948966.870478619;382856.59202911484;3946726.11903297
72024.0;31124061191-2;137630401_0_r;154488794_1;383446.99607864866;3947211.187499312;377746.24329586903;3944856.3597158003
81035.0;31131030363-2;1087233629_0;141322266_1;382750.89669709856;3946663.6009346866;383165.8405864712;3946414.1365768197
81015.0;31157256751-3;39436622_2;645599600_8;382573.039900231;3950372.433469084;377426.8565001462;3949187.5105994567
79252.0;31127128741-2;203133457_0;197111614_1;388581.7403191195;3949916.030318544;375491.8407605437;3946638.9661845337
63673.0;31155025221-2;760594795_0;102618416_0_r;381261.143806534;3949566.3546361364;374638.66643347923;3950079.226637146
81029.0;31123100061-2;156942441_10;864104329_0_r;389811.94849515124;3949949.423368228;378256.30740641005;3946160.9748637187
75626.0;31123089801-2;153989323_5;32623536_0;383288.81981410016;3950451.0526645337;380147.5209739945;3946376.853587853
71116.0;31157186461-2;379075334_1;259001663_0;387810.9405616434;3951019.8692195765;374786.7408395653;3948908.1183941606
