runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;7;0;0;NaN;0;0;0;0;NaN;NaN;1;7
NA;1;7;45175.1;25715.52;0.57;19459.58;6453.59;3673.65;2779.94;0.43;2.32;0.73;5.1
NA;2;7;76120.41;42556.82;0.56;33563.59;10874.34;6079.55;4794.8;0.44;2.27;0.73;5.14
NA;3;7;109174.98;61274.59;0.56;49028.6;15596.43;8753.51;7004.09;0.45;2.27;0.71;5
NA;4;7;157452.06;79504.82;0.5;79604.71;22493.15;11357.83;11372.1;0.51;2.12;0.6;4.2
NA;5;7;126678.29;62307.98;0.49;67063.71;18096.9;8901.14;9580.53;0.53;2.09;0.71;5
NA;6;7;128652.23;61412.91;0.48;69910.52;18378.89;8773.27;9987.22;0.54;2.04;0.71;5
NA;7;7;141886.53;63097.36;0.44;103335.01;20269.5;9013.91;14762.14;0.73;1.83;0.58;4.07
NA;8;7;176352.79;76721.07;0.44;127267.88;25193.26;10960.15;18181.13;0.72;1.99;0.45;3.15
NA;9;7;188734.63;78467.09;0.42;139662.65;26962.09;11209.58;19951.81;0.74;1.95;0.45;3.15
NA;10;7;218352.11;83384.51;0.38;141254.16;31193.16;11912.07;20179.17;0.65;1.82;0.46;3.24
NA;11;7;191789.11;93495.87;0.49;102030;27398.44;13356.55;14575.71;0.53;2.18;0.5;3.52
NA;12;7;157359.72;78669.38;0.5;79117.12;22479.96;11238.48;11302.45;0.5;2.12;0.51;3.55
NA;13;7;236733.1;102405.99;0.43;140193.31;33819.01;14629.43;20027.62;0.59;1.99;0.41;2.88
NA;14;7;224953.23;119862.33;0.53;105090.91;32136.18;17123.19;15012.99;0.47;2.15;0.44;3.1
NA;15;7;283039.95;129148.04;0.46;164594.3;40434.28;18449.72;23513.47;0.58;2.13;0.41;2.89
NA;16;7;195492.9;94276.57;0.48;102807.32;27927.56;13468.08;14686.76;0.53;2.13;0.45;3.14
NA;17;7;224676.3;95848.9;0.43;135281.24;32096.61;13692.7;19325.89;0.6;2.14;0.29;2
NA;18;7;202857.78;81130.7;0.4;140286.59;28979.68;11590.1;20040.94;0.69;2.02;0.43;3
NA;19;7;190863.75;85440.37;0.45;107370.85;27266.25;12205.77;15338.69;0.56;1.8;0.57;4
NA;20;7;237953.08;115396.21;0.48;126664.23;33993.3;16485.17;18094.89;0.53;2;0.53;3.71
