person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
42063027351-1;8606.755875720302;8606.755875720302;1.0;929.0;726.4522134125114;1.2788177705950126
42068029513-1;1699.484233281718;1699.484233281718;1.0;764.0;199.13395365881613;3.8366134250967097
43837001093-1;9650.352437848027;9650.352437848027;1.0;1625.0;1023.8033748601426;1.5872188350834302
42062020323-1;1198.5027644250245;1198.5027644250245;1.0;845.0;161.77832805962362;5.223196519181322
42173004182-1;5311.945026645746;5177.689308397461;1.0259296590142135;832.0;341.47223564319467;2.4365084863571727
43623000312-2;5261.7260702031535;5261.7260702031535;1.0;777.0;418.4428328198876;1.8568844751475237
43624001943-1;999.9110370025533;999.9110370025533;1.0;622.0;87.31834754514358;7.123359723206237
42068030261-3;3982.103028462215;3982.103028462215;1.0;810.0;459.4612860195325;1.7629341680064106
42063030002-4;2997.3323820922237;2997.3323820922237;1.0;930.0;443.24847466761383;2.0981459681218184
42062024241-2;2368.6552692160585;2368.6552692160585;1.0;567.0;147.11626031744711;3.8540947056194113
42062005643-4;2423.4578192376944;2423.4578192376944;1.0;565.0;249.840147225628;2.261445993664719
42063030901-1;6146.149405583763;4931.7959663719585;1.2462294562654292;1319.0;718.3041079198256;1.8362696042763296
42062019522-3;2474.3592918985023;1450.404897316391;1.7059783074896402;486.0;179.6215035028986;2.7056894109126377
42062017042-2;7087.443944410651;5493.964138238583;1.2900419016355198;1050.0;585.603856268935;1.793020979557542
42062017044-2;5493.964138238583;5493.964138238583;1.0;999.0;562.2445632908561;1.7768068652416737
42062002982-3;266.858830594912;266.858830594912;1.0;340.0;47.50622040291738;7.156957491384022
42173002304-2;5323.512585489307;5323.512585489307;1.0;1113.0;580.7931787531719;1.9163448206973652
42062010941-4;834.7616831507029;834.7616831507029;1.0;641.0;129.53280501133892;4.9485533795387875
42063028272-2;16533.826708308996;11962.523274889189;1.3821353846822215;2297.0;1096.2608013027268;2.0953043265529434
43664001822-3;2730.548222939198;2730.548222939198;1.0;423.0;199.64910428848415;2.118717243974126
