time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax
00:00	10.0	0.0	0.0	0.0	0.0	0.0
00:05	10.0	0.0	0.0	0.0	0.0	0.0
00:10	10.0	0.0	0.0	0.0	0.0	0.0
00:15	10.0	0.0	0.0	0.0	0.0	0.0
00:20	10.0	0.0	0.0	0.0	0.0	0.0
00:25	10.0	0.0	0.0	0.0	0.0	0.0
00:30	10.0	0.0	0.0	0.0	0.0	0.0
00:35	10.0	0.0	0.0	0.0	0.0	0.0
00:40	10.0	0.0	0.0	0.0	0.0	0.0
00:45	10.0	0.0	0.0	0.0	0.0	0.0
00:50	10.0	0.0	0.0	0.0	0.0	0.0
00:55	10.0	0.0	0.0	0.0	0.0	0.0
01:00	10.0	0.0	0.0	0.0	0.0	0.0
01:05	10.0	0.0	0.0	0.0	0.0	0.0
01:10	10.0	0.0	0.0	0.0	0.0	0.0
01:15	10.0	0.0	0.0	0.0	0.0	0.0
01:20	10.0	0.0	0.0	0.0	0.0	0.0
01:25	10.0	0.0	0.0	0.0	0.0	0.0
01:30	10.0	0.0	0.0	0.0	0.0	0.0
01:35	10.0	0.0	0.0	0.0	0.0	0.0
01:40	10.0	0.0	0.0	0.0	0.0	0.0
01:45	10.0	0.0	0.0	0.0	0.0	0.0
01:50	10.0	0.0	0.0	0.0	0.0	0.0
01:55	10.0	0.0	0.0	0.0	0.0	0.0
02:00	10.0	0.0	0.0	0.0	0.0	0.0
02:05	10.0	0.0	0.0	0.0	0.0	0.0
02:10	10.0	0.0	0.0	0.0	0.0	0.0
02:15	10.0	0.0	0.0	0.0	0.0	0.0
02:20	10.0	0.0	0.0	0.0	0.0	0.0
02:25	10.0	0.0	0.0	0.0	0.0	0.0
02:30	10.0	0.0	0.0	0.0	0.0	0.0
02:35	10.0	0.0	0.0	0.0	0.0	0.0
02:40	10.0	0.0	0.0	0.0	0.0	0.0
02:45	10.0	0.0	0.0	0.0	0.0	0.0
02:50	10.0	0.0	0.0	0.0	0.0	0.0
02:55	10.0	0.0	0.0	0.0	0.0	0.0
03:00	10.0	0.0	0.0	0.0	0.0	0.0
03:05	10.0	0.0	0.0	0.0	0.0	0.0
03:10	10.0	0.0	0.0	0.0	0.0	0.0
03:15	10.0	0.0	0.0	0.0	0.0	0.0
03:20	10.0	0.0	0.0	0.0	0.0	0.0
03:25	10.0	0.0	0.0	0.0	0.0	0.0
03:30	10.0	0.0	0.0	0.0	0.0	0.0
03:35	10.0	0.0	0.0	0.0	0.0	0.0
03:40	10.0	0.0	0.0	0.0	0.0	0.0
03:45	10.0	0.0	0.0	0.0	0.0	0.0
03:50	10.0	0.0	0.0	0.0	0.0	0.0
03:55	10.0	0.0	0.0	0.0	0.0	0.0
04:00	10.0	0.0	0.0	0.0	0.0	0.0
04:05	10.0	0.0	0.0	0.0	0.0	0.0
04:10	10.0	0.0	0.0	0.0	0.0	0.0
04:15	10.0	0.0	0.0	0.0	0.0	0.0
04:20	10.0	0.0	0.0	0.0	0.0	0.0
04:25	10.0	0.0	0.0	0.0	0.0	0.0
04:30	10.0	0.0	0.0	0.0	0.0	0.0
04:35	10.0	0.0	0.0	0.0	0.0	0.0
04:40	10.0	0.0	0.0	0.0	0.0	0.0
04:45	10.0	0.0	0.0	0.0	0.0	0.0
04:50	10.0	0.0	0.0	0.0	0.0	0.0
04:55	10.0	0.0	0.0	0.0	0.0	0.0
05:00	10.0	0.0	0.0	0.0	0.0	0.0
05:05	10.0	0.0	0.0	0.0	0.0	0.0
05:10	10.0	0.0	0.0	0.0	0.0	0.0
05:15	10.0	0.0	0.0	0.0	0.0	0.0
05:20	10.0	0.0	0.0	0.0	0.0	0.0
05:25	10.0	0.0	0.0	0.0	0.0	0.0
05:30	10.0	0.0	0.0	0.0	0.0	0.0
05:35	10.0	0.0	0.0	0.0	0.0	0.0
05:40	10.0	0.0	0.0	0.0	0.0	0.0
05:45	10.0	0.0	0.0	0.0	0.0	0.0
05:50	10.0	0.0	0.0	0.0	0.0	0.0
05:55	10.0	0.0	0.0	0.0	0.0	0.0
06:00	10.0	0.0	0.0	0.0	0.0	0.0
06:05	10.0	0.0	0.0	0.0	0.0	0.0
06:10	10.0	0.0	0.0	0.0	0.0	0.0
06:15	10.0	0.0	0.0	0.0	0.0	0.0
06:20	10.0	0.0	0.0	0.0	0.0	0.0
06:25	10.0	0.0	0.0	0.0	0.0	0.0
06:30	10.0	0.0	0.0	0.0	0.0	0.0
06:35	10.0	0.0	0.0	0.0	0.0	0.0
06:40	10.0	0.0	0.0	0.0	0.0	0.0
06:45	10.0	0.0	0.0	0.0	0.0	0.0
06:50	10.0	0.0	0.0	0.0	0.0	0.0
06:55	10.0	0.0	0.0	0.0	0.0	0.0
07:00	10.0	0.0	0.0	0.0	0.0	0.0
07:05	10.0	0.0	0.0	0.0	0.0	0.0
07:10	10.0	0.0	0.0	0.0	0.0	0.0
07:15	10.0	0.0	0.0	0.0	0.0	0.0
07:20	10.0	0.0	0.0	0.0	0.0	0.0
07:25	10.0	0.0	0.0	0.0	0.0	0.0
07:30	10.0	0.0	0.0	0.0	0.0	0.0
07:35	10.0	0.0	0.0	0.0	0.0	0.0
07:40	10.0	0.0	0.0	0.0	0.0	0.0
07:45	10.0	0.0	0.0	0.0	0.0	0.0
07:50	9.083333333333334	0.9166666666666666	0.0	0.0	0.0	0.0
07:55	9.0	0.6533333333333333	0.3466666666666667	0.0	0.0	0.0
08:00	9.0	0.0	1.0	0.0	0.0	0.0
08:05	9.593333333333334	0.2	0.20666666666666667	0.0	0.0	0.0
08:10	10.0	0.0	0.0	0.0	0.0	0.0
08:15	9.076666666666666	0.9233333333333333	0.0	0.0	0.0	0.0
08:20	9.0	1.0	0.0	0.0	0.0	0.0
08:25	9.0	0.29	0.71	0.0	0.0	0.0
08:30	9.883333333333333	0.11666666666666667	0.0	0.0	0.0	0.0
08:35	10.0	0.0	0.0	0.0	0.0	0.0
08:40	10.0	0.0	0.0	0.0	0.0	0.0
08:45	10.0	0.0	0.0	0.0	0.0	0.0
08:50	10.0	0.0	0.0	0.0	0.0	0.0
08:55	10.0	0.0	0.0	0.0	0.0	0.0
09:00	10.0	0.0	0.0	0.0	0.0	0.0
09:05	10.0	0.0	0.0	0.0	0.0	0.0
09:10	10.0	0.0	0.0	0.0	0.0	0.0
09:15	10.0	0.0	0.0	0.0	0.0	0.0
09:20	10.0	0.0	0.0	0.0	0.0	0.0
09:25	10.0	0.0	0.0	0.0	0.0	0.0
09:30	10.0	0.0	0.0	0.0	0.0	0.0
09:35	10.0	0.0	0.0	0.0	0.0	0.0
09:40	10.0	0.0	0.0	0.0	0.0	0.0
09:45	10.0	0.0	0.0	0.0	0.0	0.0
09:50	10.0	0.0	0.0	0.0	0.0	0.0
09:55	9.066666666666666	0.8766666666666667	0.056666666666666664	0.0	0.0	0.0
10:00	8.026666666666667	0.9733333333333334	1.0	0.0	0.0	0.0
10:05	8.263333333333334	0.8066666666666666	0.93	0.0	0.0	0.0
10:10	9.0	0.0	1.0	0.0	0.0	0.0
10:15	9.0	0.0	0.7466666666666667	0.25333333333333335	0.0	0.0
10:20	9.0	0.0	0.0	1.0	0.0	0.0
10:25	9.0	0.0	0.0	1.0	0.0	0.0
10:30	8.096666666666666	0.9033333333333333	0.7766666666666666	0.22333333333333333	0.0	0.0
10:35	8.0	0.71	1.29	0.0	0.0	0.0
10:40	8.986666666666666	0.013333333333333334	1.0	0.0	0.0	0.0
10:45	8.093333333333334	0.9066666666666666	1.0	0.0	0.0	0.0
10:50	8.676666666666666	0.5433333333333333	0.78	0.0	0.0	0.0
10:55	9.0	0.0	1.0	0.0	0.0	0.0
11:00	9.66	0.2	0.14	0.0	0.0	0.0
11:05	10.0	0.0	0.0	0.0	0.0	0.0
11:10	10.0	0.0	0.0	0.0	0.0	0.0
11:15	10.0	0.0	0.0	0.0	0.0	0.0
11:20	10.0	0.0	0.0	0.0	0.0	0.0
11:25	10.0	0.0	0.0	0.0	0.0	0.0
11:30	10.0	0.0	0.0	0.0	0.0	0.0
11:35	10.0	0.0	0.0	0.0	0.0	0.0
11:40	10.0	0.0	0.0	0.0	0.0	0.0
11:45	10.0	0.0	0.0	0.0	0.0	0.0
11:50	10.0	0.0	0.0	0.0	0.0	0.0
11:55	10.0	0.0	0.0	0.0	0.0	0.0
12:00	10.0	0.0	0.0	0.0	0.0	0.0
12:05	10.0	0.0	0.0	0.0	0.0	0.0
12:10	10.0	0.0	0.0	0.0	0.0	0.0
12:15	10.0	0.0	0.0	0.0	0.0	0.0
12:20	10.0	0.0	0.0	0.0	0.0	0.0
12:25	10.0	0.0	0.0	0.0	0.0	0.0
12:30	10.0	0.0	0.0	0.0	0.0	0.0
12:35	10.0	0.0	0.0	0.0	0.0	0.0
12:40	10.0	0.0	0.0	0.0	0.0	0.0
12:45	10.0	0.0	0.0	0.0	0.0	0.0
12:50	10.0	0.0	0.0	0.0	0.0	0.0
12:55	10.0	0.0	0.0	0.0	0.0	0.0
13:00	10.0	0.0	0.0	0.0	0.0	0.0
13:05	10.0	0.0	0.0	0.0	0.0	0.0
13:10	10.0	0.0	0.0	0.0	0.0	0.0
13:15	10.0	0.0	0.0	0.0	0.0	0.0
13:20	10.0	0.0	0.0	0.0	0.0	0.0
13:25	10.0	0.0	0.0	0.0	0.0	0.0
13:30	10.0	0.0	0.0	0.0	0.0	0.0
13:35	10.0	0.0	0.0	0.0	0.0	0.0
13:40	10.0	0.0	0.0	0.0	0.0	0.0
13:45	10.0	0.0	0.0	0.0	0.0	0.0
13:50	10.0	0.0	0.0	0.0	0.0	0.0
13:55	10.0	0.0	0.0	0.0	0.0	0.0
14:00	10.0	0.0	0.0	0.0	0.0	0.0
14:05	10.0	0.0	0.0	0.0	0.0	0.0
14:10	10.0	0.0	0.0	0.0	0.0	0.0
14:15	10.0	0.0	0.0	0.0	0.0	0.0
14:20	10.0	0.0	0.0	0.0	0.0	0.0
14:25	9.083333333333334	0.7566666666666667	0.16	0.0	0.0	0.0
14:30	9.936666666666667	0.06333333333333334	0.0	0.0	0.0	0.0
14:35	10.0	0.0	0.0	0.0	0.0	0.0
14:40	10.0	0.0	0.0	0.0	0.0	0.0
14:45	10.0	0.0	0.0	0.0	0.0	0.0
14:50	10.0	0.0	0.0	0.0	0.0	0.0
14:55	10.0	0.0	0.0	0.0	0.0	0.0
15:00	10.0	0.0	0.0	0.0	0.0	0.0
15:05	10.0	0.0	0.0	0.0	0.0	0.0
15:10	9.22	0.78	0.0	0.0	0.0	0.0
15:15	9.0	0.22666666666666666	0.7733333333333333	0.0	0.0	0.0
15:20	9.216666666666667	0.2	0.5833333333333334	0.0	0.0	0.0
15:25	10.0	0.0	0.0	0.0	0.0	0.0
15:30	10.0	0.0	0.0	0.0	0.0	0.0
15:35	10.0	0.0	0.0	0.0	0.0	0.0
15:40	9.093333333333334	0.44666666666666666	0.46	0.0	0.0	0.0
15:45	9.626666666666667	0.2	0.17333333333333334	0.0	0.0	0.0
15:50	10.0	0.0	0.0	0.0	0.0	0.0
15:55	10.0	0.0	0.0	0.0	0.0	0.0
16:00	9.2	0.8	0.0	0.0	0.0	0.0
16:05	9.0	0.2866666666666667	0.43	0.2833333333333333	0.0	0.0
16:10	9.0	0.0	1.0	0.0	0.0	0.0
16:15	9.0	0.0	1.0	0.0	0.0	0.0
16:20	9.0	0.18333333333333332	0.8166666666666667	0.0	0.0	0.0
16:25	9.983333333333333	0.016666666666666666	0.0	0.0	0.0	0.0
16:30	10.0	0.0	0.0	0.0	0.0	0.0
16:35	10.0	0.0	0.0	0.0	0.0	0.0
16:40	10.0	0.0	0.0	0.0	0.0	0.0
16:45	9.056666666666667	0.9433333333333334	0.0	0.0	0.0	0.0
16:50	9.0	0.10666666666666667	0.8933333333333333	0.0	0.0	0.0
16:55	9.023333333333333	0.4	0.5766666666666667	0.0	0.0	0.0
17:00	9.246666666666666	0.7533333333333333	0.0	0.0	0.0	0.0
17:05	9.0	1.0	0.0	0.0	0.0	0.0
17:10	9.0	0.07	0.93	0.0	0.0	0.0
17:15	9.0	0.0	1.0	0.0	0.0	0.0
17:20	9.656666666666666	0.2	0.14333333333333334	0.0	0.0	0.0
