runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;12;0;0;NaN;0;0;0;0;NaN;NaN;1;12
NA;1;12;14862.03;4812.21;0.32;10049.81;1238.5;401.02;837.48;0.68;1.48;0.92;11
NA;2;12;37200.01;12453.07;0.33;24746.94;3100;1037.76;2062.25;0.67;1.5;0.92;11
NA;3;12;31434.18;14617.44;0.47;16816.74;2619.51;1218.12;1401.4;0.53;1.87;0.92;11
NA;4;12;67860.32;34905.67;0.51;32954.65;5655.03;2908.81;2746.22;0.49;2.06;0.83;10
NA;5;12;89891.36;45994.65;0.51;43896.71;7490.95;3832.89;3658.06;0.49;2.05;0.8;9.59
NA;6;12;139152.87;62828.53;0.45;80087.33;11596.07;5235.71;6673.94;0.58;1.79;0.83;10
NA;7;12;104479.79;40561.35;0.39;63918.44;8706.65;3380.11;5326.54;0.61;1.64;0.77;9.19
NA;8;12;103875.47;44279.25;0.43;59596.22;8656.29;3689.94;4966.35;0.57;1.75;0.85;10.18
NA;9;12;117424.34;50420.5;0.43;67003.84;9785.36;4201.71;5583.65;0.57;1.75;0.75;9
NA;10;12;139044.06;54123.19;0.39;84920.87;11587;4510.27;7076.74;0.61;1.64;0.76;9.07
NA;11;12;162999.29;64046.39;0.39;98952.9;13583.27;5337.2;8246.07;0.61;1.65;0.76;9.07
NA;12;12;212926.54;80213.43;0.38;132713.11;17743.88;6684.45;11059.43;0.62;1.61;0.76;9.07
NA;13;12;163431.31;63481.25;0.39;101798.95;13619.28;5290.1;8483.25;0.62;1.7;0.76;9.07
NA;14;12;162143.01;74564.42;0.46;87578.59;13511.92;6213.7;7298.22;0.54;1.85;0.76;9.07
NA;15;12;168652.49;71900.98;0.43;102013.24;14054.37;5991.75;8501.1;0.6;1.77;0.67;8
NA;16;12;175999.75;63806;0.36;125766.34;14666.65;5317.17;10480.53;0.71;1.61;0.76;9.06
NA;17;12;133331.2;42788.96;0.32;95371.33;11110.93;3565.75;7947.61;0.72;1.47;0.83;10
NA;18;12;207917.69;71187.7;0.34;141559.08;17326.47;5932.31;11796.59;0.68;1.52;0.77;9.18
NA;19;12;185826.37;63293.09;0.34;127362.37;15485.53;5274.42;10613.53;0.69;1.51;0.77;9.18
NA;20;12;160097.81;50767.9;0.32;116889.55;13341.48;4230.66;9740.8;0.73;1.49;0.83;10
