runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;47;0;0;NaN;0;0;0;0;NaN;NaN;1;47
NA;1;47;44032.43;18657.63;0.42;25374.81;936.86;396.97;539.89;0.58;1.74;0.97;45.66
NA;2;47;75953.91;32094.44;0.42;43859.47;1616.04;682.86;933.18;0.58;1.73;0.96;45.07
NA;3;47;88552.51;32528.72;0.37;57152;1884.1;692.1;1216;0.65;1.58;0.96;45.19
NA;4;47;155750.83;59172.7;0.38;97706.33;3313.85;1258.99;2078.86;0.63;1.62;0.95;44.86
NA;5;47;167157.11;60370.6;0.36;108950.65;3556.53;1284.48;2318.1;0.65;1.57;0.94;44.27
NA;6;47;194319.4;71686.38;0.37;123761.23;4134.46;1525.24;2633.22;0.64;1.59;0.92;43.33
NA;7;47;201800.28;78349.89;0.39;124902.47;4293.62;1667.02;2657.5;0.62;1.67;0.92;43.23
NA;8;47;219816.52;90572.28;0.41;130372.45;4676.95;1927.07;2773.88;0.59;1.7;0.91;42.95
NA;9;47;217708.77;85415.5;0.39;133421.47;4632.1;1817.35;2838.75;0.61;1.65;0.91;42.98
NA;10;47;295588.07;102546.23;0.35;193644.17;6289.11;2181.83;4120.09;0.66;1.53;0.89;41.98
NA;11;47;293626.7;122163.18;0.42;171463.52;6247.38;2599.22;3648.16;0.58;1.72;0.92;43.27
NA;12;47;282083.54;116438.52;0.41;165645.02;6001.78;2477.42;3524.36;0.59;1.71;0.91;42.87
NA;13;47;287869.51;112563.19;0.39;177571.7;6124.88;2394.96;3778.12;0.62;1.65;0.9;42.08
NA;14;47;308448.22;119297.23;0.39;189150.99;6562.73;2538.24;4024.49;0.61;1.63;0.92;43.25
NA;15;47;337012.09;129361.77;0.38;207650.32;7170.47;2752.38;4418.09;0.62;1.63;0.9;42.37
NA;16;47;278660.16;96291.36;0.35;182368.8;5928.94;2048.75;3880.19;0.65;1.53;0.92;43.36
NA;17;47;302407.99;106840.56;0.35;195567.44;6434.21;2273.2;4161.01;0.65;1.55;0.92;43.24
NA;18;47;349399.4;107711.37;0.31;243236.04;7434.03;2291.73;5175.23;0.7;1.45;0.92;43.11
NA;19;47;370684.9;124004.89;0.33;248885.24;7886.91;2638.4;5295.43;0.67;1.52;0.92;43.03
NA;20;47;335685.98;110836.37;0.33;226709.21;7142.25;2358.22;4823.6;0.68;1.51;0.91;43
