runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;6214.69;8086.51;0;0;0
NA;2;14746.69;21169.19;0;0;0
NA;3;19348.18;24821.64;0;0;0
NA;4;21193.84;29471.06;0;0;0
NA;5;32872.66;61164.8;0;0;0
NA;6;21506.21;31457.81;0;0;0
NA;7;22453.87;32078.17;0;0;0
NA;8;35268.19;40028.14;2158.72;0;0
NA;9;29700.27;41769.2;4689.42;0;0
NA;10;31011.59;47650.59;6637.15;0;0
NA;11;22009.32;42843.22;6783.47;0;0
NA;12;18802.68;41786.23;1947.73;0;0
NA;13;25399.32;50840.61;0;0;0
NA;14;24790.6;51957.48;1150.35;0;0
NA;15;28602.11;51397.92;0;0;0
NA;16;32182.59;56197.57;5495.39;0;0
NA;17;38844.22;63051.47;0;0;0
NA;18;41052.69;72038.92;1081.83;0;0
NA;19;39804.12;69402.06;909.34;0;0
NA;20;37168.47;57566.93;6359.21;0;0
