runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;36658.12;148164.39;7331.35;0;0
NA;2;62772.65;190495.81;7322.16;0;0
NA;3;86876.83;225350.29;41790.63;7732.85;0
NA;4;96012.75;259613.37;44169.64;7742.04;0
NA;5;116889.42;320002.19;43074.73;7742.04;0
NA;6;144459.6;341145.83;40572.52;7732.85;0
NA;7;150119.92;378242.81;36117.4;7801.65;0
NA;8;153302.54;342964.88;54633.1;7801.65;0
NA;9;147726.4;365265.76;53841.83;22252;0
NA;10;154112.74;386931.75;30269.69;30161.83;0
NA;11;140421.85;367023.94;35761.72;0;0
NA;12;141830.5;363981.44;14751.33;25843.67;0
NA;13;150477.34;379719.84;18210.8;29044.46;0
NA;14;155421.87;379011.24;37481.9;3792.15;0
NA;15;141528.92;408642.33;13239.82;0;0
NA;16;140376.09;413891.35;37380.9;0;0
NA;17;133136.47;378935.23;37732.66;0;0
NA;18;130770.98;391304.87;35960.95;0;0
NA;19;121794.77;304484.04;34837.81;0;0
NA;20;118094.51;273916.67;34837.81;0;0
