runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;10;0;0;NaN;0;0;0;0;NaN;NaN;1;10
NA;1;10;14301.2;6214.69;0.43;8086.51;1430.12;621.47;808.65;0.57;1.77;0.86;8.59
NA;2;10;35915.88;14746.69;0.41;21169.19;3591.59;1474.67;2116.92;0.59;1.7;0.9;9
NA;3;10;44169.82;19348.18;0.44;24821.64;4416.98;1934.82;2482.16;0.56;1.78;0.81;8.06
NA;4;10;50664.9;21193.84;0.42;29471.06;5066.49;2119.38;2947.11;0.58;1.72;0.81;8.06
NA;5;10;94037.46;32872.66;0.35;61164.8;9403.75;3287.27;6116.48;0.65;1.54;0.8;8
NA;6;10;52964.02;21506.21;0.41;31457.81;5296.4;2150.62;3145.78;0.59;1.68;0.81;8.06
NA;7;10;54532.04;22453.87;0.41;32078.17;5453.2;2245.39;3207.82;0.59;1.7;0.8;8
NA;8;10;77455.05;35268.19;0.46;44345.59;7745.51;3526.82;4434.56;0.57;1.97;0.8;8
NA;9;10;76158.89;29700.27;0.39;51148.04;7615.89;2970.03;5114.8;0.67;1.64;0.72;7.16
NA;10;10;85299.33;31011.59;0.36;60924.9;8529.93;3101.16;6092.49;0.71;1.62;0.7;7
NA;11;10;71636.01;22009.32;0.31;56410.16;7163.6;2200.93;5641.02;0.79;1.5;0.7;7
NA;12;10;62536.65;18802.68;0.3;45681.7;6253.66;1880.27;4568.17;0.73;1.49;0.71;7.1
NA;13;10;76239.93;25399.32;0.33;50840.61;7623.99;2539.93;5084.06;0.67;1.5;0.7;7.02
NA;14;10;77898.43;24790.6;0.32;54258.19;7789.84;2479.06;5425.82;0.7;1.48;0.72;7.23
NA;15;10;80000.03;28602.11;0.36;51397.92;8000;2860.21;5139.79;0.64;1.57;0.7;7
NA;16;10;93875.55;32182.59;0.34;67188.35;9387.56;3218.26;6718.83;0.72;1.71;0.8;8
NA;17;10;101895.69;38844.22;0.38;63051.47;10189.57;3884.42;6305.15;0.62;1.62;0.8;8
NA;18;10;114173.44;41052.69;0.36;74202.59;11417.34;4105.27;7420.26;0.65;1.57;0.8;8
NA;19;10;110115.52;39804.12;0.36;71220.74;11011.55;3980.41;7122.07;0.65;1.58;0.7;7.03
NA;20;10;101094.61;37168.47;0.37;70285.35;10109.46;3716.85;7028.53;0.7;1.84;0.8;8
