runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;114;0;0;NaN;0;0;0;0;NaN;NaN;1;114
NA;1;114;604303.92;76475.98;0.13;577328.03;5300.91;670.84;5064.28;0.96;1.11;0.96;109.53
NA;2;114;1272772;161126.83;0.13;1556131.65;11164.67;1413.39;13650.28;1.22;1.04;0.92;105.3
NA;3;114;1575053.84;230318.36;0.15;2025333.18;13816.26;2020.34;17766.08;1.29;1.05;0.91;103.91
NA;4;114;1818679.99;255879.6;0.14;2309204.32;15953.33;2244.56;20256.18;1.27;1.05;0.91;103.38
NA;5;114;1904531.19;278749.16;0.15;2336754.37;16706.41;2445.17;20497.85;1.23;1.11;0.9;102.69
NA;6;114;1967224.93;254809.18;0.13;2618493.37;17256.36;2235.17;22969.24;1.33;1.05;0.91;103.35
NA;7;114;2128033.06;285561.08;0.13;2837062.36;18666.96;2504.92;24886.51;1.33;1.07;0.91;104.15
NA;8;114;2368426.49;331373.09;0.14;3286760.5;20775.67;2906.78;28831.23;1.39;1.06;0.9;102.65
NA;9;114;2495476.4;352989.76;0.14;3374194.88;21890.14;3096.4;29598.2;1.35;1.07;0.9;102.03
NA;10;114;2613098.09;401367.8;0.15;3313025.12;22921.91;3520.77;29061.62;1.27;1.11;0.91;104
NA;11;114;2549047.33;403593.06;0.16;3169192.6;22360.06;3540.29;27799.94;1.24;1.08;0.91;104
NA;12;114;2763864.77;455981.56;0.16;3498383.76;24244.43;3999.84;30687.58;1.27;1.1;0.89;102
NA;13;114;2652264.21;429915.58;0.16;3238610.45;23265.48;3771.19;28408.86;1.22;1.1;0.89;101.22
NA;14;114;2630384.39;414289.57;0.16;3330213.78;23073.55;3634.12;29212.4;1.27;1.07;0.89;101.09
NA;15;114;2512189.48;414832.38;0.17;3120561;22036.75;3638.88;27373.34;1.24;1.08;0.89;100.96
NA;16;114;2655346.64;382136.74;0.14;3566076.33;23292.51;3352.08;31281.37;1.34;1.09;0.88;99.76
NA;17;114;2620737.07;382243.68;0.15;3336978.74;22988.92;3353.01;29271.74;1.27;1.1;0.89;101.95
NA;18;114;2376529.87;353653.63;0.15;3133803.29;20846.75;3102.22;27489.5;1.32;1.02;0.88;100.19
NA;19;114;2279286.34;339161.23;0.15;3111208.16;19993.74;2975.1;27291.3;1.36;1.04;0.9;102.75
NA;20;114;2431189.21;408839.6;0.17;3045430.39;21326.22;3586.31;26714.3;1.25;1.05;0.9;102.7
