vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;181511.94;90353.68;91158.26;116004.61
drtC4;177954.59;78989.63;98964.96;92492.93
drtC1;163420.49;98111.37;65309.12;137518.05
drtC2;130171.61;92022.39;38149.22;146772.32
drtC0;111625.15;99023.18;12601.97;135927.33
drtC5;186153.19;99434.77;86718.42;117306.34
drtC6;87988.87;44796.84;43192.02;51370.41
