runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;4554733.91;14628425.6;6014062.62;3289918.85;2289189.14
NA;1;15751966.44;15395660.49;5442071.34;2705965.63;1968588.14
NA;2;14976457.89;15312282.19;5422959.4;2769987.66;1925402.43
NA;3;14207801.24;15424895.8;5180630.86;2593227.87;1832012.2
NA;4;13721897.08;15272628.71;5080882.71;2518167.74;1766404.58
NA;5;13789337.98;15050536.15;5028291.62;2510876.19;1731561.25
NA;6;12425909.03;14931885.54;4920118.99;2514004.6;1697692.25
NA;7;12593992.71;14800988.11;4845543.87;2487547.78;1752634.22
NA;8;12906119.63;14809382.86;4810165.04;2522813.64;1679490.77
NA;9;12647572.75;14736445.25;4762270.67;2504116.1;1687072.43
NA;10;11918083.03;14676940.53;4758055.05;2565635.55;1700521.42
NA;11;12529051.79;14713631.18;4807024.7;2502068.86;1678891.3
NA;12;11448689.74;14709504.13;4833526.92;2498239.74;1641592.8
NA;13;11661425.36;14686923.2;4796995.99;2412213.74;1695460.96
NA;14;11709272.99;14683223.62;4766112.96;2354460.3;1718543
NA;15;11442345.19;14614703.02;4691377.73;2405823.63;1678400.76
NA;16;11680176.35;14569589.87;4800445.3;2489823.98;1677418.29
NA;17;11164288.56;14722335.07;4680837.97;2431674.28;1610903
NA;18;12217883.19;14666160.11;4695039.63;2435890.73;1650231.31
NA;19;12167037.46;14465697.1;4669785.91;2453689.64;1587277.12
NA;20;11640528.38;14470486.85;4719712.62;2400313.92;1616060
