runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;1114;30776330.12;4554733.91;0.15;45683063.96;27626.87;4088.63;41008.14;1.48;1.04;0.78;873.79
NA;1;1114;41264252.04;15751966.44;0.38;42272052.63;37041.52;14140.01;37946.19;1.02;1.39;0.54;602.85
NA;2;1114;40407089.56;14976457.89;0.37;42169773.67;36272.07;13443.86;37854.37;1.04;1.39;0.55;616.39
NA;3;1114;39238567.97;14207801.24;0.36;40893889.93;35223.13;12753.86;36709.06;1.04;1.37;0.57;634.71
NA;4;1114;38359980.81;13721897.08;0.36;40054515.66;34434.45;12317.68;35955.58;1.04;1.37;0.57;631.51
NA;5;1114;38110603.19;13789337.98;0.36;39565992.96;34210.6;12378.22;35517.05;1.04;1.37;0.58;647.17
NA;6;1114;36489610.42;12425909.03;0.34;39104906.33;32755.49;11154.32;35103.15;1.07;1.33;0.6;669.13
NA;7;1114;36480706.68;12593992.71;0.35;38965256.06;32747.49;11305.2;34977.79;1.07;1.35;0.59;657.55
NA;8;1114;36727971.95;12906119.63;0.35;38716116.96;32969.45;11585.39;34754.14;1.05;1.36;0.58;640.9
NA;9;1114;36337477.21;12647572.75;0.35;38521624.61;32618.92;11353.3;34579.56;1.06;1.35;0.58;646.33
NA;10;1114;35619235.58;11918083.03;0.33;38692042.95;31974.18;10698.46;34732.53;1.09;1.33;0.59;657.42
NA;11;1114;36230667.84;12529051.79;0.35;38549452.37;32523.04;11246.9;34604.54;1.06;1.35;0.59;652.24
NA;12;1114;35131553.33;11448689.74;0.33;38437648.38;31536.4;10277.1;34504.17;1.09;1.32;0.62;686.42
NA;13;1114;35253019.25;11661425.36;0.33;38299400.25;31645.44;10468.07;34380.07;1.09;1.33;0.61;679.72
NA;14;1114;35231612.86;11709272.99;0.33;38153002.44;31626.22;10511.02;34248.66;1.08;1.33;0.6;662.87
NA;15;1114;34832650.31;11442345.19;0.33;37928532.37;31268.09;10271.41;34047.16;1.09;1.32;0.61;676.81
NA;16;1114;35217453.79;11680176.35;0.33;38349625.55;31613.51;10484.9;34425.16;1.09;1.33;0.61;674.69
NA;17;1114;34610038.87;11164288.56;0.32;37822645.83;31068.26;10021.8;33952.11;1.09;1.31;0.62;692.77
NA;18;1114;35665204.98;12217883.19;0.34;37964836.82;32015.44;10967.58;34079.75;1.06;1.34;0.61;678.39
NA;19;1114;35343487.24;12167037.46;0.34;37515446.35;31726.65;10921.94;33676.34;1.06;1.35;0.6;670.45
NA;20;1114;34847101.78;11640528.38;0.33;37575093.86;31281.06;10449.31;33729.89;1.08;1.33;0.61;674.25
