timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
00:00:00;7;141;87;87;93;150;161;225;225
00:30:00;6;117.83;75;75;92.25;114;153;153;153
01:00:00;1;117;117;117;117;117;117;117;117
01:30:00;0;0;0;0;0;0;0;0;0
02:00:00;0;0;0;0;0;0;0;0;0
02:30:00;0;0;0;0;0;0;0;0;0
03:00:00;1;157;157;157;157;157;157;157;157
03:30:00;2;169;141;141;141;169;197;197;197
04:00:00;17;189.12;102;102;122;175;204;509;509
04:30:00;19;176.74;104;104;119;158;204;348;348
05:00:00;53;192.92;61;61;118.5;159;220;506.2;595
05:30:00;94;209.35;36;63.25;128.5;184.5;264.25;451.5;603
06:00:00;217;261.98;29;61;150;210;349.5;568.3;863
06:30:00;347;304.75;58;75.4;151;274;438;588.6;1042
07:00:00;641;360.98;11;65.2;174;341;496;734.4;1522
07:30:00;718;354.19;12;61;185.75;328;492;700;1376
08:00:00;584;351.28;7;61;162;305.5;515.75;755.5;1735
08:30:00;426;285.19;16;61;147.75;234;407;619.85;1449
09:00:00;322;292.89;35;61;144.75;224;388.75;705.45;1115
09:30:00;207;232.85;41;61;117;205;325;534;697
10:00:00;188;232.08;11;61;113;182.5;315;593.1;816
10:30:00;121;195.97;19;61;98;156;244;527.3;752
11:00:00;150;237.33;1;61;123.5;197.5;325;554.9;810
11:30:00;127;217.02;60;61;109;171;269;599.6;763
12:00:00;144;212.44;61;61;103.5;189.5;256.5;527.25;788
12:30:00;115;205.83;61;61;98;186;271;478.4;510
13:00:00;139;214.94;60;61;105;179;297;524;633
13:30:00;116;204.16;61;61;101;170.5;262;505.4;687
14:00:00;125;198.06;61;61;94;162;241.5;510.7;696
14:30:00;139;219.46;60;61;104;184;282;578;712
15:00:00;173;229.79;60;61;115;180;304.5;581;729
15:30:00;185;223.84;60;61;103;177;300.5;570;762
16:00:00;239;253.04;13;61;118;204;344;575;1031
16:30:00;212;245.71;27;61;131;190.5;341;565.45;756
17:00:00;347;291.21;8;61;134;228;404;652;1378
17:30:00;336;282.09;2;61;124;227.5;380.75;689.9;1744
18:00:00;367;319.68;29;61;139;285;457;706.2;1264
18:30:00;257;274.18;24;61;114;226;397;609.5;1248
19:00:00;290;335.31;27;61;146.5;271.5;479.25;703.25;1776
19:30:00;190;272.03;14;61;142;220;376.75;647.5;939
20:00:00;224;332.57;9;61;151;295;504.5;716.75;945
20:30:00;151;287.23;61;61;117;236;424;646.4;1079
21:00:00;160;300.41;61;61;139.5;240;416.5;722.75;1106
21:30:00;101;235.65;40;61;120;179;289.5;575.5;772
22:00:00;100;242.24;32;61;107.5;165.5;331.25;640.4;949
22:30:00;53;201.4;61;61;96;142;233.5;636.6;654
23:00:00;37;189.24;61;61;66;149;227.5;485.2;541
23:30:00;22;146.27;61;61;61;93;150.25;577.45;616
24:00:00;5;155.6;61;61;61;157;249.5;250;250
24:30:00;1;61;61;61;61;61;61;61;61
25:00:00;1;229;229;229;229;229;229;229;229
