zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
144;339603.8195268515;3915237.5098775188;5;1440;288.0;127.0;579.0;579.0;579.0;533.4000000000001;465.0;192.0
145;340739.61485487694;3915217.280260711;1;434;434.0;434.0;434.0;434.0;434.0;434.0;434.0;434.0
146;330534.82437014644;3916328.9751110165;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
147;331670.5236402642;3916307.5943477997;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
148;332806.2202426845;3916286.357230551;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
149;333941.9141953344;3916265.26375622;4;1006;251.5;149.0;492.0;492.0;492.0;492.0;418.25;182.5
15;328033.6749206832;3904354.2450196724;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;335077.60551614995;3916244.313921778;12;2550;212.5;61.0;1042.0;1042.0;835.0000000000007;284.20000000000005;236.0;112.0
151;336213.29422306165;3916223.5077242185;11;2705;245.9090909090909;115.0;680.0;680.0;605.2000000000003;299.20000000000005;289.0;191.0
152;337348.9803340066;3916202.845160552;4;1234;308.5;184.0;577.0;577.0;577.0;577.0;502.25;236.5
153;338484.66386692185;3916182.32622781;9;3170;352.22222222222223;153.0;524.0;524.0;524.0;468.0;449.5;424.0
154;339620.3448397374;3916161.9509230466;9;2458;273.1111111111111;108.0;513.0;513.0;513.0;442.0;402.0;211.0
155;340756.0232703965;3916141.7192433393;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
157;331687.870877246;3917232.051397877;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
158;332823.4505412667;3917210.8121172865;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
159;333959.0275579914;3917189.7164942063;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;329170.8976861225;3904332.605814339;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;335094.6019453384;3917168.764525607;4;1362;340.5;129.0;533.0;533.0;533.0;533.0;531.75;350.0
161;336230.17372122227;3917147.956208481;4;1259;314.75;105.0;548.0;548.0;548.0;548.0;526.75;303.0
162;337365.7429035622;3917127.29153984;7;1876;268.0;122.0;424.0;424.0;424.0;404.8;392.0;230.0
163;338501.30951027974;3917106.770516719;2;325;162.5;158.0;167.0;167.0;167.0;167.0;167.0;162.5
164;339636.8735592883;3917086.39313617;3;1286;428.6666666666667;259.0;646.0;646.0;646.0;646.0;646.0;381.0
165;340772.43506851234;3917066.1593952696;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
166;331705.22168900404;3918156.5096033537;2;588;294.0;61.0;527.0;527.0;527.0;527.0;527.0;294.0
167;332840.6843905616;3918135.2681612177;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
168;333976.1444472965;3918114.1703911712;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
169;335111.6018771109;3918093.2162901848;1;343;343.0;343.0;343.0;343.0;343.0;343.0;343.0;343.0
17;329188.43167684885;3905257.052272497;1;292;292.0;292.0;292.0;292.0;292.0;292.0;292.0;292.0
170;336247.05669790204;3918072.405855251;1;882;882.0;882.0;882.0;882.0;882.0;882.0;882.0;882.0
171;337382.50892757316;3918051.739083384;10;2275;227.5;106.0;356.0;356.0;351.0;302.6;293.25;215.5
172;338517.95858402713;3918031.215971616;1;224;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0
173;339653.4056851636;3918010.836517004;1;387;387.0;387.0;387.0;387.0;387.0;387.0;387.0;387.0
174;340788.8502488879;3917990.600716621;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
176;332857.92179021495;3919059.7253624583;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
177;333993.26486289804;3919038.625447229;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
178;335128.60531111807;3919017.669215627;1;241;241.0;241.0;241.0;241.0;241.0;241.0;241.0;241.0
179;336263.94315275556;3918996.856664644;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;328068.97981957614;3906203.1435462204;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
180;338534.61108782416;3918955.6625926197;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
181;339669.9412170239;3918935.281065665;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
182;340805.268811187;3918915.0432075113;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
183;334010.3888044448;3919963.081662498;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
184;335145.6122470116;3919942.123302051;2;440;220.0;177.0;263.0;263.0;263.0;263.0;263.0;220.0
186;339686.4801545333;3919859.7267822744;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187;341826.5532493083;3912423.8904732633;2;948;474.0;474.0;474.0;474.0;474.0;474.0;474.0;474.0
188;342962.69407570566;3912403.954179832;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
189;344098.83240446425;3912384.1614442947;1;154;154.0;154.0;154.0;154.0;154.0;154.0;154.0;154.0
19;329205.96929516277;3906181.499880902;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
190;345234.96825358586;3912364.5122638103;12;3004;250.33333333333331;60.0;542.0;542.0;516.2;456.0;425.5;243.0
191;341842.83469222585;3913348.323895305;2;576;288.0;108.0;468.0;468.0;468.0;468.0;468.0;288.0
192;342978.8586981702;3913328.38556313;1;136;136.0;136.0;136.0;136.0;136.0;136.0;136.0;136.0
193;344114.8802087999;3913308.590803495;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
194;345250.89924209885;3913288.9396135537;1;371;371.0;371.0;371.0;371.0;371.0;371.0;371.0;371.0
195;346386.91581606126;3913269.431990484;9;978;108.66666666666667;61.0;278.0;278.0;278.0;190.0;143.5;81.0
196;341859.1194946741;3914272.7584879934;3;603;201.0;171.0;251.0;251.0;251.0;251.0;251.0;181.0
197;342995.02665609116;3914252.818118759;23;5985;260.2173913043478;24.0;588.0;588.0;558.0000000000001;365.8000000000005;327.0;221.0
198;344130.931324516;3914233.0213366966;3;960;320.0;157.0;413.0;413.0;413.0;413.0;413.0;390.0
199;345266.8335179175;3914213.3681389624;2;767;383.5;194.0;573.0;573.0;573.0;573.0;573.0;383.5
2;329100.79800627887;3900634.83148182;1;510;510.0;510.0;510.0;510.0;510.0;510.0;510.0;510.0
20;328086.63774618285;3907127.594532238;1;493;493.0;493.0;493.0;493.0;493.0;493.0;493.0;493.0
200;346402.73325427045;3914193.8585227304;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
201;341875.4076563205;3915197.1942514456;4;1146;286.5;268.0;309.0;309.0;309.0;309.0;303.5;284.5
202;343011.1979491372;3915177.2518468373;6;1714;285.6666666666667;99.0;604.0;604.0;604.0;583.6;565.75;167.0
203;344146.9857512844;3915157.45304402;4;927;231.75;140.0;313.0;313.0;313.0;313.0;312.25;237.0
204;345282.7710807135;3915137.797840153;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
205;346418.55395538575;3915118.2862324095;2;689;344.5;175.0;514.0;514.0;514.0;514.0;514.0;344.5
206;347554.33439325314;3915098.918217988;2;468;234.0;147.0;321.0;321.0;321.0;321.0;321.0;234.0
207;348690.1124122748;3915079.693794107;2;343;171.5;74.0;269.0;269.0;269.0;269.0;269.0;171.5
208;349825.8880304128;3915060.6129580047;3;592;197.33333333333334;179.0;225.0;225.0;225.0;225.0;225.0;188.0
209;341891.6991768296;3916121.631185779;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
21;329223.51054070424;3907105.9486396704;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
210;343027.3725769753;3916101.6867474816;10;1423;142.3;60.0;272.0;272.0;270.1;245.20000000000002;223.75;126.0
211;344163.0434887741;3916081.8859255854;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
212;345298.71193016233;3916062.228717244;1;202;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0
213;346434.37791908183;3916042.7151196375;2;726;363.0;187.0;539.0;539.0;539.0;539.0;539.0;363.0
214;347570.0414734697;3916023.3451299625;1;109;109.0;109.0;109.0;109.0;109.0;109.0;109.0;109.0
215;348705.7026112674;3916004.1187454383;1;462;462.0;462.0;462.0;462.0;462.0;462.0;462.0;462.0
216;349841.3613504199;3915985.035963304;2;729;364.5;239.0;490.0;490.0;490.0;490.0;490.0;364.5
217;341907.99405586714;3917046.0692911106;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
218;343043.5505392736;3917026.1228208123;2;189;94.5;39.0;150.0;150.0;150.0;150.0;150.0;94.5
219;344179.10453665786;3917006.319981509;6;1594;265.6666666666667;142.0;508.0;508.0;508.0;464.80000000000007;427.0;194.5
22;328104.2993237475;3908052.046666907;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
220;345314.6560659353;3916986.660770358;1;231;231.0;231.0;231.0;231.0;231.0;231.0;231.0;231.0
221;346450.2051450349;3916967.145184538;6;2366;394.3333333333333;168.0;550.0;550.0;550.0;522.0;497.5;430.0
222;347585.7517918738;3916947.7732212474;1;334;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0
223;348721.29602437915;3916928.5448777042;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
224;349856.8378604775;3916909.460151149;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
225;350992.37731808965;3916890.5190388416;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
226;352127.9144151414;3916871.7215380613;11;3088;280.72727272727275;61.0;483.0;483.0;475.8;425.80000000000007;394.0;282.0
227;343059.7318357028;3917950.560066949;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
228;344195.1688946037;3917930.755211912;2;350;175.0;163.0;187.0;187.0;187.0;187.0;187.0;175.0
229;345330.60348770686;3917911.093999613;2;522;261.0;206.0;316.0;316.0;316.0;316.0;316.0;261.0
23;329241.0554131134;3908030.398548922;2;803;401.5;103.0;700.0;700.0;700.0;700.0;700.0;401.5
230;346466.0356329193;3917891.576427229;32;7709;240.90625;9.0;824.0;661.4999999999994;510.09999999999997;412.6000000000001;381.0;179.0
231;347601.4653481439;3917872.20249196;1;132;132.0;132.0;132.0;132.0;132.0;132.0;132.0;132.0
232;348736.8926512903;3917852.9721910236;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
233;349872.31756026944;3917833.88552166;1;380;380.0;380.0;380.0;380.0;380.0;380.0;380.0;380.0
234;351007.7400929815;3917814.942481132;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
235;352143.1602673419;3917796.143066719;1;456;456.0;456.0;456.0;456.0;456.0;456.0;456.0;456.0
236;343075.9164659279;3918874.9984860085;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
237;344211.23656228505;3918855.191616914;2;320;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0
238;345346.5541951485;3918835.5284051266;5;1421;284.2;139.0;594.0;594.0;594.0;546.4000000000002;475.0;174.0
239;346481.8693824111;3918816.0088478294;7;1895;270.7142857142857;110.0;576.0;576.0;576.0;543.0;521.0;159.0
24;326985.3224499571;3908998.293830013;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
240;347617.182141958;3918796.632942218;1;312;312.0;312.0;312.0;312.0;312.0;312.0;312.0;312.0
241;348752.4924916807;3918777.4006855143;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
242;349887.80044947495;3918758.312074957;4;787;196.75;173.0;247.0;247.0;247.0;247.0;233.75;183.5
243;351023.1060332258;3918739.367107808;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
244;352158.4092608279;3918720.56578135;2;493;246.5;213.0;280.0;280.0;280.0;280.0;280.0;246.5
245;343092.1044296189;3919799.438078111;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
246;344227.30753937137;3919779.6291966313;1;391;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0
247;345362.50818793435;3919759.963987021;1;118;118.0;118.0;118.0;118.0;118.0;118.0;118.0;118.0
248;346497.706393186;3919740.4424464586;1;677;677.0;677.0;677.0;677.0;677.0;677.0;677.0;677.0
249;347632.90217299305;3919721.064572143;10;3200;320.0;61.0;560.0;560.0;556.1;505.00000000000006;461.0;283.0
25;328121.9645519067;3908976.4999503465;8;1889;236.125;86.0;568.0;568.0;568.0;362.40000000000003;304.75;203.5
250;348768.0955452321;3919701.8303612964;9;3347;371.8888888888889;90.0;836.0;836.0;836.0;726.0;529.0;314.0
251;349903.2865277801;3919682.7398111587;4;1062;265.5;172.0;457.0;457.0;457.0;457.0;400.75;216.5
252;351038.47513850644;3919663.792918992;2;646;323.0;223.0;423.0;423.0;423.0;423.0;423.0;323.0
253;352173.6613952893;3919644.989682079;1;393;393.0;393.0;393.0;393.0;393.0;393.0;393.0;393.0
254;353293.71015017113;3918701.908092887;4;1266;316.5;138.0;674.0;674.0;674.0;674.0;572.0;227.0
255;353308.84531600046;3919626.330097723;1;284;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0
256;354444.0269185192;3919607.814163246;7;1619;231.28571428571428;61.0;294.0;294.0;294.0;288.6;285.0;280.0
257;341973.20715062186;3920743.8334248206;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
258;343108.2957264446;3920723.8788433746;1;109;109.0;109.0;109.0;109.0;109.0;109.0;109.0;109.0
259;344243.38182553207;3920704.067951186;2;446;223.0;160.0;286.0;286.0;286.0;286.0;286.0;223.0
26;329258.6039120288;3908954.8496087724;7;2102;300.2857142857143;91.0;522.0;522.0;522.0;492.6;473.0;350.0
260;345378.4654657364;3920684.4007454123;3;852;284.0;198.0;417.0;417.0;417.0;417.0;417.0;237.0
261;346513.5466649188;3920664.877223235;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
262;347648.6254409277;3920645.497381855;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
263;348783.7018116234;3920626.261218491;11;3603;327.54545454545456;167.0;662.0;662.0;659.4;543.0000000000003;384.0;260.0
264;349918.77579486684;3920607.1687303856;94;37375;397.6063829787234;8.0;1174.0;1085.0;942.0;624.0;594.5;332.5
265;351053.8474085086;3920588.219914802;1;161;161.0;161.0;161.0;161.0;161.0;161.0;161.0;161.0
266;352188.9166704127;3920569.4147690227;11;3033;275.72727272727275;61.0;538.0;538.0;537.0;510.2000000000001;476.0;197.0
267;345394.4260282287;3921608.8386804196;1;166;166.0;166.0;166.0;166.0;166.0;166.0;166.0;166.0
268;346529.39019728435;3921589.313178278;7;2322;331.7142857142857;61.0;421.0;421.0;421.0;416.8;414.0;383.0
269;347664.35194543813;3921569.9313714704;39;14581;373.87179487179486;61.0;780.0;707.0;545.0;478.0;430.0;370.0
27;327003.10808421986;3909922.750498787;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
270;348799.31129053445;3921550.6932572154;4;1416;354.0;142.0;588.0;588.0;588.0;588.0;545.0;343.0
271;349934.26825041615;3921531.598832758;7;2291;327.2857142857143;140.0;618.0;618.0;618.0;584.4;562.0;170.0
272;351069.22284291807;3921512.648095358;8;2172;271.5;135.0;509.0;509.0;509.0;408.20000000000005;376.5;232.0
273;352204.1750858857;3921493.8410423016;5;1712;342.4;127.0;662.0;662.0;662.0;613.4000000000002;540.5;278.0
274;346545.2369899577;3922513.7503117076;3;1534;511.3333333333333;341.0;657.0;657.0;657.0;657.0;657.0;536.0
275;347680.0816862035;3922494.36654111;6;1057;176.16666666666666;50.0;350.0;350.0;350.0;325.6;304.25;141.0
276;348814.9239816452;3922475.1264775903;7;2089;298.42857142857144;166.0;543.0;543.0;543.0;486.6;449.0;215.0
277;349949.76389411086;3922456.0301183923;2;955;477.5;350.0;605.0;605.0;605.0;605.0;605.0;477.5
278;351084.6014414179;3922437.0774607803;13;3069;236.07692307692307;118.0;552.0;552.0;491.99999999999994;318.0000000000001;276.5;172.0
279;352219.4366413946;3922418.268502036;19;6120;322.10526315789474;55.0;690.0;690.0;543.0;510.0;457.0;353.0
28;328139.63343029784;3909900.9543826757;9;2412;268.0;91.0;546.0;546.0;546.0;461.0;397.5;261.0
280;346561.0870426155;3923438.188623642;6;835;139.16666666666666;61.0;330.0;330.0;330.0;302.40000000000003;278.25;61.0
281;347695.8146629002;3923418.802890893;2;621;310.5;170.0;451.0;451.0;451.0;451.0;451.0;310.5
282;348830.5398846373;3923399.5608797353;10;3136;313.6;121.0;591.0;591.0;581.8000000000001;498.0;495.25;265.0
283;349965.2627256337;3923380.4625874115;5;1665;333.0;147.0;600.0;600.0;600.0;574.0000000000001;535.0;226.0
284;351099.9832036929;3923361.5080111874;69;15305;221.81159420289856;23.0;667.0;553.0;512.0;395.0;367.5;156.0
285;352234.7013366269;3923342.6971483463;15;2630;175.33333333333334;61.0;513.0;513.0;381.6000000000001;272.20000000000005;245.0;149.0
286;347711.5508752062;3924343.2404209357;1;637;637.0;637.0;637.0;637.0;637.0;637.0;637.0;637.0
287;348846.15899918746;3924323.996463767;17;6004;353.1764705882353;61.0;583.0;583.0;580.6;524.4;488.0;376.0
288;349980.7647446672;3924304.8962399326;11;2846;258.72727272727275;92.0;520.0;520.0;511.20000000000005;405.2000000000003;299.0;238.0
289;351115.36812942976;3924285.939746698;4;1134;283.5;189.0;433.0;433.0;433.0;433.0;401.75;256.0
29;329276.1560370915;3909879.301819344;6;1655;275.8333333333333;150.0;577.0;577.0;577.0;451.00000000000017;340.75;256.5
290;352249.96917127;3924267.126981349;4;933;233.25;170.0;323.0;323.0;323.0;323.0;300.75;220.0
