departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
462.0;42141001581-6;drtE19;1036419348_0_r;346388.59;3918454.74;115697949_0_r;346799.71;3919353.67;363.0;1019.0;194.0;1462.62;1462.62;-1.02;1362;2211.48
1217.0;31147052413-4;drtE48;39393243_3;381157.12;3950476.01;65419351_0;380942.8;3951444.35;131.0;1509.0;161.0;1650.11;1650.11;-1.16;2117;2881.12
1223.0;31157191992-5;drtE23;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;110.0;1886.0;553.0;6894.4;6894.4;-4.83;2123;3824.49
1825.0;31124031991-2;drtE17;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;270.0;3159.0;1064.0;13571.77;13538.32;-9.48;2725;6074.16
9838.0;31127119452-2;drtE27;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;317.0;10955.0;800.0;12723.47;12723.47;-8.91;10738;13319.57
10817.0;31143045251-1;drtE48;115455887_0;380375.51;3950669.86;286703470_0;388328.01;3949449.87;228.0;11681.0;636.0;10062.09;10062.09;-7.04;11717;13840.27
15324.0;31205047751-3;drtE23;100811452_0;376769.1;3948645.1;102682297_0_r;379347.22;3950755.84;168.0;16093.0;601.0;4249.04;4249.04;-2.97;16224;18269.88
16597.0;31082028811-1;drtE48;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;786.0;18147.0;764.0;13198.58;13198.58;-9.24;17497;19887.6
17425.0;31105007361-1;drtE6;1105686870_3;381644.17;3944840.01;144846260_2;381666.29;3945688.24;349.0;17987.0;213.0;1686.77;1686.77;-1.18;18325;19221.35
20731.0;31137034541-1;drtE38;115447378_4;379838.65;3949321.94;121685346_0_r;379439.07;3947075.25;177.0;21331.0;423.0;2899.87;2899.87;-2.03;21631;23132.4
21010.0;31124078492-1;drtE26;450150326_0_r;380090.29;3945579.95;34288692_0;386342.27;3943423.48;126.0;21866.0;730.0;13812.99;13812.99;-9.67;21910;24335.93
22213.0;31132012051-1;drtE14;52881224_6;379222.15;3948881.78;39635035_0;384349.7;3950956.42;168.0;23208.0;827.0;9388.51;6828.24;-4.78;23113;24873.18
22234.0;31144020881-1;drtE14;61154754_1;381118.53;3951219.76;39635041_0_r;384463.15;3950877.97;559.0;23103.0;310.0;4379.58;4379.58;-3.07;23134;24329.79
22508.0;42132022804-1;drtE21;397750618_0;358785.95;3929672.45;220004483_3;360351.4;3927186.47;182.0;23245.0;555.0;3976.92;3904.18;-2.73;23408;25317.21
23351.0;31157217941-1;drtE1;108322303_0_r;375642.99;3952617.48;41252250_0;378211.3;3949963.8;496.0;24355.0;508.0;5142.75;5142.75;-3.6;24251;26023.09
23414.0;42157020661-1;drtE29;367661047_0;352824.79;3919108.08;626893500_1;347120.24;3919484.19;361.0;25070.0;1295.0;7073.86;7073.86;-4.95;24314;27188.29
23420.0;31124096471-1;drtE47;270493297_10_r;373700.39;3947731.49;461225977_0;374720.94;3949691.33;166.0;23921.0;335.0;2946.24;2794.93;-1.96;24320;25485.06
