departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
27970.0;42033022503-1;drtC4;310673059_0;350330.36;3914091.34;39087401_2;350632.3;3919875.42;829.0;29508.0;709.0;7473.32;7473.32;-7.23;29170;31294.04
28220.0;91532021114-1;drtC2;152610449_4;356240.02;3935287.6;86877156_1;356031.19;3934613.35;518.0;28856.0;118.0;827.33;827.33;-2.58;29420;29760.2
28546.0;42124009113-1;drtC1;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;386.0;29298.0;366.0;2915.46;2915.46;-4.04;29746;30814.29
35121.0;42124024213-1;drtC1;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;561.0;36775.0;1093.0;10201.89;10201.89;-9.14;36321;39514.39
40838.0;42141008962-2;drtC3;106354564_1;343777.2;3916955.21;1036611857_5;344478.74;3918103.47;815.0;41875.0;222.0;1733.6;1733.6;-3.21;42038;42683.43
40848.0;42033018263-1;drtC4;310614243_0;348604.81;3912933.16;682914177_1;361720.88;3937906.49;1021.0;45206.0;3337.0;37282.36;37282.36;-28.1;42048;51828.17
42019.0;32094051051-2;drtC2;321609852_0;359130.41;3935186.92;222187490_1;359657.6;3936207.11;657.0;42893.0;217.0;1496.59;1496.59;-3.05;43219;43857.82
42038.0;91535011992-2;drtC6;199579622_1;359005.72;3930411.1;168350417_0_r;358153.51;3931432.64;572.0;42902.0;292.0;1711.35;1711.35;-3.2;43238;44074.31
44135.0;91536017793-2;drtC6;86877497_0;356068.07;3934783.46;1175349485_0;356286.52;3935399.56;770.0;45041.0;136.0;909.2;909.2;-2.64;45335;45719.88
52213.0;42128036774-2;drtC1;1077358543_1;349527.31;3924609.62;1077358541_0;349231.62;3924525.73;771.0;53054.0;70.0;475.31;475.31;-2.35;53413;53615.98
54045.0;61372017352-6;drtC4;44819998_0;363707.94;3938805.72;1003289579_0_r;363519.23;3938987.74;640.0;54745.0;60.0;352.24;352.24;-2.35;55245;55422.64
54382.0;42155006332-2;drtC5;25514141_7;353300.42;3924738.4;32838832_4;354400.24;3927780.35;514.0;55443.0;547.0;3498.75;3498.75;-4.45;55582;57193.29
55530.0;32097077484-2;drtC2;25724143_2;358433.4;3935178.56;222581022_0_r;358518.13;3934947.38;378.0;55991.0;83.0;501.61;501.61;-2.35;56730;56974.05
57638.0;42132022182-2;drtC6;199579622_1;359005.72;3930411.1;24925236_3;359099.66;3930479.89;743.0;58424.0;43.0;257.09;257.09;-2.35;58838;58964.4
57652.0;42167019902-2;drtC5;387488080_8;356524.55;3930333.77;29422265_15;357483.51;3930737;615.0;58490.0;223.0;1517.96;1517.96;-3.06;58852;59513.35
58515.0;91535010332-4;drtC5;166855088_8;356263.3;3931414.82;166964273_0;355962.48;3931796;380.0;58997.0;102.0;587.94;587.94;-2.41;59715;60015.5
59428.0;42033018263-2;drtC4;682914177_1;361720.88;3937906.49;310614243_0;348604.81;3912933.16;490.0;63326.0;3408.0;37494.98;37494.98;-28.25;60628;70566.84
62439.0;61373035851-2;drtC2;256389441_0;360407.43;3940401.32;1092670645_0_r;360855.63;3939400.45;982.0;63675.0;254.0;1636.73;1636.73;-3.15;63639;64369.15
63054.0;42127031043-2;drtC1;658716733_0;350845.11;3924000.54;706105382_0_r;351569.56;3921669.83;422.0;63820.0;344.0;3452.92;3452.92;-4.42;64254;65272.9
64815.0;42128036423-3;drtC1;312062436_0;350070.15;3924149.45;161450379_0;350129.54;3923862.3;495.0;65498.0;188.0;474.94;474.94;-2.35;66015;66211.73
65139.0;32093057142-4;drtC6;35904230_0;358896.04;3934418.74;221510048_2;359219.83;3938696.27;968.0;66949.0;842.0;5678.73;5678.73;-5.98;66339;68481.01
