runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;2259;29225211.54;3222314.82;0.11;43122229.18;12937.23;1426.43;19089.08;1.48;0.96;0.89;2020.51
NA;1;2259;29719346.39;4312130.24;0.15;41330100.63;13155.97;1908.87;18295.75;1.39;1;0.88;1986.86
NA;2;2259;29351333.43;4187168.54;0.14;40661160;12993.06;1853.55;17999.63;1.39;1.01;0.88;1983.66
NA;3;2259;28986436.93;4155641.07;0.14;39924654.28;12831.53;1839.59;17673.6;1.38;1.01;0.89;2002.35
NA;4;2259;28553497.03;4062276.68;0.14;39203731.91;12639.88;1798.26;17354.46;1.37;1.01;0.88;1999.1
NA;5;2259;28089305.84;3833856.42;0.14;38619605.75;12434.4;1697.15;17095.89;1.37;1.01;0.89;2006.1
NA;6;2259;27739633.06;3834242.55;0.14;38325523.35;12279.61;1697.32;16965.7;1.38;1.01;0.89;2006.68
NA;7;2259;27479370.37;3789316.17;0.14;37885898.77;12164.4;1677.43;16771.09;1.38;1.01;0.88;1998.1
NA;8;2259;27251673.45;3664648.06;0.13;37562568.03;12063.6;1622.24;16627.96;1.38;1.01;0.89;2009.19
NA;9;2259;27360956.29;3738664.03;0.14;37582243.38;12111.98;1655.01;16636.67;1.37;1.01;0.89;2006.99
NA;10;2259;27385749.28;3761453.18;0.14;37707750.76;12122.95;1665.1;16692.23;1.38;1.02;0.89;2005.14
NA;11;2259;27188918.04;3701847.09;0.14;37465290.97;12035.82;1638.71;16584.9;1.38;1.01;0.89;2009.41
NA;12;2259;27111317.78;3655943.89;0.13;37248064.54;12001.47;1618.39;16488.74;1.37;1.01;0.89;2007.42
NA;13;2259;26827514.35;3569471.19;0.13;37104440.57;11875.84;1580.11;16425.16;1.38;1.01;0.89;2018.13
NA;14;2259;26966310.4;3585850.5;0.13;37235720.95;11937.28;1587.36;16483.28;1.38;1.01;0.89;2012.9
NA;15;2259;26733037.11;3523641.74;0.13;36987277.64;11834.01;1559.82;16373.3;1.38;1.01;0.89;2017.3
NA;16;2259;26788147.06;3540120.73;0.13;37146009.65;11858.41;1567.12;16443.56;1.39;1.01;0.89;2015.37
NA;17;2259;26803634.25;3657096.56;0.14;36830507.87;11865.27;1618.9;16303.9;1.37;1.01;0.89;2015.22
NA;18;2259;26856110.37;3665228.51;0.14;36755886.52;11888.5;1622.5;16270.87;1.37;1.01;0.89;2012.35
NA;19;2259;26623727.74;3665510.09;0.14;36453887.07;11785.63;1622.63;16137.18;1.37;1.02;0.89;2010.25
NA;20;2259;26603891.36;3554659.42;0.13;36600154.51;11776.84;1573.55;16201.93;1.38;1.01;0.89;2009.27
