Iteration	bike	car	drt	pt	walk
0	0.0	0.0	0.0	1.0	0.0
1	0.020034120611666744	0.039332613357123854	0.0036468360175924623	0.9110046798453616	0.02598175016825531
2	0.03701616816139988	0.06784993191529323	0.006792819019893256	0.8409322126747116	0.04740886822870201
3	0.04996008827534394	0.09270476279914229	0.009234477469440141	0.7842732153198416	0.06382745613623202
4	0.060462349939741124	0.11309887151554993	0.011410057754613326	0.7373025934795198	0.07772612731057582
5	0.06897685119969948	0.1280618553473885	0.01294392011394406	0.7005212001690378	0.08949617316993004
6	0.07567576027922555	0.14066143901331957	0.013867367860888075	0.6728177677607174	0.09697766508584933
7	0.08116949179070605	0.15066284766242508	0.01458734407036985	0.649747225743845	0.10383309073265405
8	0.08595889874943263	0.15817564289180008	0.01563600507113678	0.631466090685699	0.10876336260193141
9	0.08991876790158239	0.16316852138798893	0.016825530982454494	0.6166283201076834	0.11345885962029081
10	0.0921726064703949	0.16828661313800067	0.017936798610132882	0.6049834875021521	0.11662049427931946
11	0.09508381462177772	0.17196475246904885	0.017999405237044342	0.5961559531076365	0.11879607456449265
12	0.09707157502621652	0.17371773802256968	0.018077663520683664	0.5903804917750544	0.12075253165547573
13	0.09844892081826861	0.17532985866553974	0.018343741685057362	0.585105883457764	0.12277159537337028
14	0.10048363619289102	0.17731761906997856	0.01850025825233601	0.5801912632452145	0.12350722323957991
15	0.10029581631215664	0.18015056893772205	0.01887589801380476	0.5754488112566715	0.12522890547964502
16	0.10082797264090404	0.18104271337121033	0.01870372978979825	0.5736175674195113	0.125808016778576
17	0.10071841104380899	0.18170008295378065	0.018609819849431063	0.571692413641984	0.1272792725109953
18	0.10161055547729728	0.18256092407381322	0.018985459610899813	0.5693916201029879	0.1274514407350018
19	0.1013288256561957	0.18525300903100594	0.019126324521450595	0.5663238953843265	0.12796794540702133
20	0.10143838725329075	0.18627036671831712	0.01937675102909643	0.5643517866366154	0.1285627083626802
