runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;3222314.82;15810082.74;5341411.39;2776286.69;2075115.89
NA;1;4312130.24;15863780.04;5103166.34;2501091.13;1939178.63
NA;2;4187168.54;15856958.84;4992949.37;2438724.28;1875532.4
NA;3;4155641.07;15871280.52;4648534.75;2487618.1;1823362.49
NA;4;4062276.68;15620732.2;4747293.68;2404365.48;1718828.97
NA;5;3833856.42;15575139.57;4662960.92;2350851.38;1666497.55
NA;6;3834242.55;15245578.26;4604742.65;2349818.61;1705250.99
NA;7;3789316.17;15084498.95;4658075.31;2304670.55;1642809.39
NA;8;3664648.06;15111708.65;4538261.4;2373884.78;1563170.56
NA;9;3738664.03;15182856.26;4514156.7;2330043.46;1595235.84
NA;10;3761453.18;15125779.59;4533652.48;2344789.9;1620074.13
NA;11;3701847.09;15020424.4;4594297.22;2233125.21;1639224.13
NA;12;3655943.89;15081117.85;4528196.03;2273685.4;1572374.6
NA;13;3569471.19;14919624.6;4474343.37;2220171.54;1643903.65
NA;14;3585850.5;14984008.22;4535889.43;2262315.08;1598247.16
NA;15;3523641.74;14885870.65;4431071.96;2330547.94;1561904.81
NA;16;3540120.73;14918883.81;4358025.03;2373394.15;1597723.33
NA;17;3657096.56;14944394.58;4324359.26;2273740.6;1604043.24
NA;18;3665228.51;14927666.19;4473531.99;2277578.37;1512105.31
NA;19;3665510.09;14713884.14;4497838.99;2241653.15;1504841.38
NA;20;3554659.42;14782525.41;4506142.07;2236912.86;1523651.59
