departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
20136.0;31123087041-1;drtB8;56229259_0;374771.4;3944364.23;56228790_1;374435.83;3944399.38;398.0;20618.0;84.0;495.71;402.08;-2.35;20736;21535.52
23427.0;31124026835-1;drtB16;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;421.0;26049.0;2201.0;25477.58;25477.58;-19.83;24027;30935.43
27015.0;91536017793-1;drtB13;1175349485_0;356286.52;3935399.56;86877497_0;356068.07;3934783.46;616.0;27787.0;156.0;1067.68;1067.68;-2.75;27615;28667.17
27642.0;91531006044-1;drtB7;49769233_1;356837.38;3931413.6;52348168_1;356183.71;3932164.65;395.0;28489.0;452.0;1440.59;1440.59;-3.01;28242;29590.89
36381.0;31154018631-1;drtB6;1018771105_15;375225.01;3948327.79;25304345_0_r;345618.01;3942127.94;289.0;39886.0;3216.0;38375.55;38375.55;-28.86;36981;47137.82
57626.0;61357058671-4;drtB8;109354249_0;376169.74;3941492.83;59624495_0;373480.69;3944085.83;526.0;58776.0;624.0;4828.24;4828.24;-5.38;58226;60632.33
58827.0;31123062242-4;drtB5;103003506_0_r;377174.13;3945058.24;116436361_0_r;376898;3944896.25;341.0;59262.0;94.0;557.5;524.04;-2.37;59427;60282.15
62568.0;91536012391-4;drtB1;158059312_3;381104.48;3945929.58;195098170_1;353358.76;3928377.26;229.0;65629.0;2832.0;37336.53;37311.09;-28.12;63168;72172.99
69614.0;61352002222-6;drtB15;202129346_0_r;367683.02;3941763.21;103078981_0;367282.53;3941282.57;583.0;70339.0;142.0;965.97;965.97;-2.68;70214;71229.36
