runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;383;32259336.68;5501150.17;0.17;48583491.36;84228.03;14363.32;126849.85;1.51;1.11;0.35;135.36
NA;1;383;37283437.06;12008317.68;0.32;43452018.59;97345.79;31353.31;113451.75;1.17;1.29;0.12;44.12
NA;2;383;35266949.79;11087100.35;0.31;41321637.14;92080.81;28948.04;107889.39;1.17;1.27;0.16;62.89
NA;3;383;34291432.24;10750231.51;0.31;40083060.83;89533.77;28068.49;104655.51;1.17;1.28;0.16;60.53
NA;4;383;33177052.02;10268249.76;0.31;38559575.99;86624.16;26810.05;100677.74;1.16;1.28;0.17;66.35
NA;5;383;32457687.36;10093426.24;0.31;37659137.44;84745.92;26353.59;98326.73;1.16;1.29;0.19;70.86
NA;6;383;31752594.84;9839673.74;0.31;36586416.88;82904.95;25691.05;95525.89;1.15;1.28;0.2;77.47
NA;7;383;31132342.82;9533504.14;0.31;36172541.1;81285.49;24891.66;94445.28;1.16;1.27;0.19;73.03
NA;8;383;30999154.23;9572282.49;0.31;36013119.71;80937.74;24992.9;94029.03;1.16;1.29;0.17;66.95
NA;9;383;30605170.37;9366312.69;0.31;35450524.01;79909.06;24455.12;92560.11;1.16;1.28;0.18;69.41
NA;10;383;30228938.16;9129898.08;0.3;35553322.95;78926.73;23837.85;92828.52;1.18;1.28;0.18;69.82
NA;11;383;30045469.85;9140995.87;0.3;35194593.03;78447.7;23866.83;91891.89;1.17;1.28;0.15;59.22
NA;12;383;29532546.52;8813571.94;0.3;34925025.5;77108.48;23011.94;91188.06;1.18;1.26;0.19;71.13
NA;13;383;29812082.74;9102369.39;0.31;34828255.04;77838.34;23765.98;90935.39;1.17;1.28;0.18;67.12
NA;14;383;29771334.67;8988843.44;0.3;34990994.3;77731.94;23469.57;91360.3;1.18;1.28;0.17;64.94
NA;15;383;29549300.88;8880513.87;0.3;34730338.09;77152.22;23186.72;90679.73;1.18;1.27;0.18;69.37
NA;16;383;29451802.93;8799292.53;0.3;34814644.77;76897.66;22974.65;90899.86;1.18;1.27;0.15;58.4
NA;17;383;29432300.9;8816215.38;0.3;34752910.96;76846.74;23018.84;90738.67;1.18;1.27;0.19;71.4
NA;18;383;29504058.02;8865934.14;0.3;34563561.79;77034.09;23148.65;90244.29;1.17;1.28;0.17;66.37
NA;19;383;29464625.01;8931510.92;0.3;34354439.92;76931.14;23319.87;89698.28;1.17;1.28;0.16;60.52
NA;20;383;29408016.45;8838195.68;0.3;34518739;76783.33;23076.23;90127.26;1.17;1.28;0.17;63.98
