runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;5501150.17;13865909.65;6526191.56;3799142.62;2566942.68
NA;1;12008317.68;14358436.75;5722098.07;3128952.56;2065632.01
NA;2;11087100.35;13923917.96;5377240.59;2871525.53;2007165.35
NA;3;10750231.51;13616374.41;5227404.93;2777809.02;1919612.37
NA;4;10268249.76;13426571.51;5062582.65;2670753.22;1748894.88
NA;5;10093426.24;13157916.27;4875306.83;2573544.53;1757493.48
NA;6;9839673.74;13083563.55;4689284.01;2436008.83;1704064.7
NA;7;9533504.14;12778452.03;4724918.01;2437621.52;1657847.12
NA;8;9572282.49;12642293.32;4648590.1;2470307.08;1665681.23
NA;9;9366312.69;12622258.73;4606775.28;2424579.99;1585243.69
NA;10;9129898.08;12492353.16;4456868.69;2452040.52;1697777.71
NA;11;9140995.87;12333858.03;4475120.59;2471487.62;1624007.74
NA;12;8813571.94;12181207.98;4451186.81;2504875.23;1581704.55
NA;13;9102369.39;12199041.27;4497652.58;2418169.37;1594850.13
NA;14;8988843.44;12233083.31;4510997.3;2417726.07;1620684.55
NA;15;8880513.87;12178370.05;4534123.41;2341453;1614840.56
NA;16;8799292.53;12136956.69;4505656.96;2373212.82;1636683.93
NA;17;8816215.38;12095716.9;4517512.57;2389255.31;1613600.74
NA;18;8865934.14;12219549.14;4483204.82;2363876.69;1571493.23
NA;19;8931510.92;12183448.11;4441980.02;2343712.08;1563973.88
NA;20;8838195.68;12159839.46;4458623.7;2363778.29;1587579.32
