Line_ID
112331954_0
1066727336_0_r
1066727336_0
1066727334_0_r
1069570414_3_r
1071922391_0_r
1077358536_0_r
1066694401_0_r
1066694401_0
1066694401_0_r
1068907447_0_r
1043400691_0
1077358555_0_r
1068746576_0_r
128364775_0_r
162378429_1
1070375669_0_r
1037341319_0_r
1058347326_0
1198830139_3
1010030973_0_r
1058442829_0_r
1066661779_0
1066661781_1
1066661781_0
1067553352_0_r
1183610388_1_r
1067549522_0_r
105147077_0_r
1010522278_0_r
147925860_1_r
1110603087_0
105152240_3_r
1021049212_1_r
1136567481_0
1067582671_0_r
1082414002_0
1070035952_6_r
1064795282_0_r
1041544995_0_r
1034341378_0_r
1038202000_0_r
1120054990_0
1037018728_0_r
1062355813_1_r
1062355811_0_r
107761746_11_r
108019717_3_r
108019717_3
1062270978_0_r
100007223_0_r
1042104466_0_r
1014264475_2_r
1062158769_0_r
1062158769_0
1000927444_2_r
1064307157_0_r
1009294955_0_r
