departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
23427.0;31124026835-1;drtB16;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;421.0;26049.0;2201.0;25477.58;25477.58;-19.83;24027;30935.43
27015.0;91536017793-1;drtB13;1175349485_0;356286.52;3935399.56;86877497_0;356068.07;3934783.46;536.0;27707.0;156.0;1067.68;1067.68;-2.75;27615;28667.17
36381.0;31154018631-1;drtB6;1018771105_15;375225.01;3948327.79;25304345_0_r;345618.01;3942127.94;289.0;39886.0;3216.0;38375.55;38375.55;-28.86;36981;47160.51
49823.0;31132017272-4;drtB10;28137058_0_r;380133.83;3947495.07;28137266_0_r;380041.5;3947409.93;364.0;50312.0;125.0;767.58;767.58;-2.54;50423;51382.88
57626.0;61357058671-4;drtB8;109354249_0;376169.74;3941492.83;59624495_0;373480.69;3944085.83;318.0;58568.0;624.0;4828.24;4828.24;-5.38;58226;60632.33
59420.0;61364043962-11;drtB0;152284309_4;367302.47;3939988.59;382135991_4;369031.69;3939525.6;599.0;60325.0;306.0;2470.88;2470.88;-3.73;60020;61448.83
66757.0;42124006273-2;drtB1;158059312_3;381104.48;3945929.58;770599761_0_r;352891.97;3928637.85;229.0;69904.0;2918.0;38091.85;38066.41;-28.65;67357;76613.4
69614.0;61352002222-6;drtB0;202129346_0_r;367683.02;3941763.21;103078981_0;367282.53;3941282.57;597.0;70353.0;142.0;965.97;965.97;-2.68;70214;71229.03
