vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;187111.67;75214.56;111897.11;77814.11
drtC4;111830.8;58473.67;53357.14;63406.4
drtC1;101331.91;80868.39;20463.52;91777.3
drtC2;193709.95;170128.93;23581.03;215836.28
drtC0;112671.67;86060.05;26611.62;134922.69
drtC5;191825.06;105573.78;86251.28;130861.8
drtC6;63481.61;38578.7;24902.92;48266.14
