Iteration	bike	car	drt	pt	ride	walk
0	0.0	0.0	0.0	1.0	0.0	0.0
1	0.02221074380165289	0.022852491860756323	4.0696218382168793E-4	0.9171049336338593	0.01050275482093664	0.026922113698973203
2	0.040117079889807165	0.040038817931379915	7.826195842724769E-4	0.8498309541697971	0.018845479589281244	0.050385048835462055
3	0.054642499373904335	0.053186826947157526	9.704482844978713E-4	0.7984911094415227	0.02465251690458302	0.06805659904833458
4	0.0661313548710243	0.06567743551214626	0.0011895817680941648	0.7537722263961933	0.03005259203606311	0.08317680941647884
5	0.07463060355622339	0.07527235161532682	0.0012052341597796144	0.7194778362133734	0.03435699974956173	0.09505697470573504
6	0.08251940896568996	0.08217505634861007	0.00134610568494866	0.6933383420986726	0.03819183571249687	0.10242925118958177
7	0.087465564738292	0.08857688454795892	0.0013930628600050089	0.671831955922865	0.03988229401452542	0.11085023791635362
8	0.0930534685699975	0.09245867768595041	0.0014243676433759078	0.6552873779113448	0.041713623841723016	0.11606248434760831
9	0.0964343851740546	0.09676308539944904	0.0015965439519158527	0.6410123966942148	0.04338842975206612	0.12080515902829952
10	0.09890746306035562	0.10034748309541698	0.0016904583020285499	0.6297426746806912	0.04464062108690208	0.12467129977460556
11	0.10073879288755322	0.10242925118958177	0.0018469822188830454	0.6200694966190834	0.04623716503881793	0.12867831204608063
12	0.1027579514149762	0.10363448534936139	0.0017687202604557977	0.6136989732031054	0.04756761833208114	0.13057225144002005
13	0.1050275482093664	0.10563799148509892	0.0017374154770848987	0.607453668920611	0.048851114450288	0.1312922614575507
14	0.10581016779363887	0.10704670673678938	0.001987853744052091	0.602820560981718	0.050056348610067615	0.13227836213373403
15	0.10593538692712247	0.10781367392937641	0.0020504633107938895	0.5995179063360881	0.05010330578512397	0.13457926371149512
16	0.10775106436263461	0.10818933132982719	0.0020191585274229903	0.5969822188830454	0.049696343601302276	0.1353618832957676
17	0.1085023791635362	0.10925369396443776	0.0020035061357375405	0.5940865264212372	0.05007200100175307	0.13608189331329829
18	0.10784497871274731	0.11050588529927373	0.002066115702479339	0.5933039068369647	0.05019722013523666	0.13608189331329829
19	0.10726584022038567	0.11061545204107187	0.002128725269221137	0.5917856248434761	0.050463310793889306	0.13774104683195593
20	0.10903456048084147	0.10887803656398698	0.0020035061357375405	0.5917699724517906	0.050165915351865764	0.13814800901577762
21	0.10820498372151265	0.10978587528174305	0.0021443776609065867	0.5909247433007764	0.05027548209366391	0.13866453794139744
22	0.10872151264713248	0.11002066115702479	0.001987853744052091	0.5899229902329076	0.0505885299273729	0.13875845229151015
23	0.10945717505634861	0.10909717004758326	0.0021443776609065867	0.5893281993488605	0.050494615577260205	0.13947846230904082
24	0.10987978963185575	0.10923804157275231	0.002097420485850238	0.5890464562985224	0.0508076634109692	0.1389306286000501
25	0.1098641372401703	0.10917543200601051	0.0018626346105684948	0.5873873027798647	0.05144941147007263	0.1402610818933133
