runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;5344481.6;12690286.01;5749220.04;3204454.6;2149452.27
NA;1;10723664.07;13304705.23;4962918.34;2557291.56;1870198.83
NA;2;10251061.08;12773268.66;4808529.12;2423571.11;1772193.05
NA;3;9944154.13;12706849.18;4430293.5;2346610.35;1700286.62
NA;4;9801872.3;12432302.81;4440091.74;2331057.48;1598777.01
NA;5;9666500.17;12354086.05;4236019.3;2181662.43;1601760.14
NA;6;9516509.92;12183348.45;4192008.82;2219598.96;1490902.25
NA;7;9336887.87;11869228.7;4021548.96;2168314.39;1567410.85
NA;8;9198857.91;11877740.09;4130152.1;2150493.13;1479891.78
NA;9;9459279.76;11926103.32;4073456.11;1986251.21;1476353.46
NA;10;9283210.59;11673077.22;4033142.67;2166505.81;1487461.54
NA;11;9143957.02;11797537.53;3954568.42;2103964.63;1482698.08
NA;12;9326849.05;11732102.08;4056898.15;2114951.53;1418031.57
NA;13;9641132.64;11629754.5;3992812.46;2149716.92;1462237.11
NA;14;9545228.94;11683306.94;3930242.36;2105384.99;1402164.1
NA;15;9361951;11523293.75;3913948.63;2080428.62;1490929.34
NA;16;9211048.88;11503167.38;4057887.05;2020689.8;1348975.05
NA;17;9043367.69;11549545.77;3918380.15;1974236.76;1439342.76
NA;18;8961135.92;11554951.4;4197635.08;1996436.01;1418491
NA;19;9019046.16;11650480.65;4007315.54;1987549.36;1375096.52
NA;20;9330955.78;11643177.58;4010746.69;2040715.19;1442372.82
NA;21;8925799.35;11667672.76;4049289.48;2058230.57;1414458.83
NA;22;9027643.21;11535279.54;4024912.8;2148651.12;1449931.49
NA;23;8990581.8;11672570.39;3986805.79;2031347.54;1402268.6
NA;24;9000782.76;11659425.96;4075748.07;2073157.6;1465616.17
NA;25;9322713.53;11541996.88;4037357.86;2071586.15;1452440.18
