runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;383;29137894.52;5344481.6;0.18;42399898.97;76078.05;13954.26;110704.7;1.46;1.12;0.4;152.57
NA;1;383;33418778.04;10723664.07;0.32;38383211.92;87255.3;27999.12;100217.26;1.15;1.29;0.18;68.13
NA;2;383;32028623.02;10251061.08;0.32;36749812.42;83625.65;26765.17;95952.51;1.15;1.28;0.17;64.45
NA;3;383;31128193.77;9944154.13;0.32;35408413.69;81274.66;25963.85;92450.17;1.14;1.28;0.2;77.35
NA;4;383;30604101.34;9801872.3;0.32;34700766.75;79906.27;25592.36;90602.52;1.13;1.3;0.19;71.59
NA;5;383;30040028.09;9666500.17;0.32;33778152.5;78433.49;25238.9;88193.61;1.12;1.3;0.18;67.67
NA;6;383;29602368.4;9516509.92;0.32;33189771.96;77290.78;24847.28;86657.37;1.12;1.31;0.19;72.23
NA;7;383;28963390.77;9336887.87;0.32;32686913.2;75622.43;24378.3;85344.42;1.13;1.29;0.18;67.41
NA;8;383;28837135.01;9198857.91;0.32;32509090.78;75292.78;24017.91;84880.13;1.13;1.3;0.17;65.22
NA;9;383;28921443.86;9459279.76;0.33;31937183;75512.91;24697.86;83386.9;1.1;1.31;0.18;68.62
NA;10;383;28643397.84;9283210.59;0.32;32188726.18;74786.94;24238.15;84043.67;1.12;1.3;0.18;70.76
NA;11;383;28482725.68;9143957.02;0.32;31949360.58;74367.43;23874.56;83418.7;1.12;1.3;0.16;60.11
NA;12;383;28648832.37;9326849.05;0.33;31862879.22;74801.13;24352.09;83192.9;1.11;1.31;0.18;68.28
NA;13;383;28875653.63;9641132.64;0.33;31913478.63;75393.35;25172.67;83325.01;1.11;1.33;0.15;57.28
NA;14;383;28666327.34;9545228.94;0.33;31468603.04;74846.81;24922.27;82163.45;1.1;1.33;0.17;66.65
NA;15;383;28370551.35;9361951;0.33;31556194.26;74074.55;24443.74;82392.15;1.11;1.33;0.2;76.09
NA;16;383;28141768.16;9211048.88;0.33;31076911.07;73477.2;24049.74;81140.76;1.1;1.33;0.19;72.25
NA;17;383;27924873.13;9043367.69;0.32;31066387.4;72910.9;23611.93;81113.28;1.11;1.31;0.19;72.63
NA;18;383;28128649.41;8961135.92;0.32;31613493.58;73442.95;23397.22;82541.76;1.12;1.32;0.18;69.06
NA;19;383;28039488.23;9019046.16;0.32;31128145.9;73210.15;23548.42;81274.53;1.11;1.32;0.17;64.55
NA;20;383;28467968.07;9330955.78;0.33;31556307.83;74328.9;24362.81;82392.45;1.11;1.33;0.19;74.54
NA;21;383;28115451;8925799.35;0.32;31598778.75;73408.49;23304.96;82503.34;1.12;1.31;0.17;65.81
NA;22;383;28186418.17;9027643.21;0.32;31830784.48;73593.78;23570.87;83109.1;1.13;1.31;0.17;66.14
NA;23;383;28083574.11;8990581.8;0.32;31349298.98;73325.26;23474.1;81851.96;1.12;1.31;0.2;78.47
NA;24;383;28274730.57;9000782.76;0.32;31892859.57;73824.36;23500.74;83271.17;1.13;1.31;0.16;59.83
NA;25;383;28426094.6;9322713.53;0.33;31641231.77;74219.57;24341.29;82614.18;1.11;1.32;0.2;78.32
