zone;X;Y;time;idleDRTVehicles
1;364146.1024229896;3940106.9877286963;0.0;0
1;364146.1024229896;3940106.9877286963;0.0;1
1;364146.1024229896;3940106.9877286963;0.0;2
1;364146.1024229896;3940106.9877286963;0.0;3
1;364146.1024229896;3940106.9877286963;0.0;4
1;364146.1024229896;3940106.9877286963;0.0;5
1;364146.1024229896;3940106.9877286963;0.0;6
1;364146.1024229896;3940106.9877286963;0.0;7
1;364146.1024229896;3940106.9877286963;0.0;8
1;364146.1024229896;3940106.9877286963;0.0;9
1;364146.1024229896;3940106.9877286963;0.0;10
1;364146.1024229896;3940106.9877286963;0.0;11
1;364146.1024229896;3940106.9877286963;0.0;12
1;364146.1024229896;3940106.9877286963;0.0;13
1;364146.1024229896;3940106.9877286963;0.0;14
1;364146.1024229896;3940106.9877286963;0.0;15
1;364146.1024229896;3940106.9877286963;0.0;16
1;364146.1024229896;3940106.9877286963;0.0;17
1;364146.1024229896;3940106.9877286963;0.0;18
1;364146.1024229896;3940106.9877286963;0.0;19
1;364146.1024229896;3940106.9877286963;0.0;20
1;364146.1024229896;3940106.9877286963;0.0;21
1;364146.1024229896;3940106.9877286963;0.0;22
1;364146.1024229896;3940106.9877286963;0.0;23
1;364146.1024229896;3940106.9877286963;0.0;24
1;364146.1024229896;3940106.9877286963;0.0;25
1;364146.1024229896;3940106.9877286963;0.0;26
1;364146.1024229896;3940106.9877286963;0.0;27
1;364146.1024229896;3940106.9877286963;0.0;28
1;364146.1024229896;3940106.9877286963;0.0;29
1;364146.1024229896;3940106.9877286963;0.0;30
1;364146.1024229896;3940106.9877286963;0.0;31
1;364146.1024229896;3940106.9877286963;0.0;32
1;364146.1024229896;3940106.9877286963;0.0;33
1;364146.1024229896;3940106.9877286963;0.0;34
1;364146.1024229896;3940106.9877286963;0.0;35
1;364146.1024229896;3940106.9877286963;0.0;36
1;364146.1024229896;3940106.9877286963;0.0;37
1;364146.1024229896;3940106.9877286963;0.0;38
1;364146.1024229896;3940106.9877286963;0.0;39
1;364146.1024229896;3940106.9877286963;0.0;40
1;364146.1024229896;3940106.9877286963;0.0;41
1;364146.1024229896;3940106.9877286963;0.0;42
1;364146.1024229896;3940106.9877286963;0.0;43
1;364146.1024229896;3940106.9877286963;0.0;44
1;364146.1024229896;3940106.9877286963;0.0;45
1;364146.1024229896;3940106.9877286963;0.0;46
1;364146.1024229896;3940106.9877286963;0.0;47
1;364146.1024229896;3940106.9877286963;0.0;48
1;364146.1024229896;3940106.9877286963;0.0;49
1;364146.1024229896;3940106.9877286963;0.0;50
1;364146.1024229896;3940106.9877286963;0.0;51
1;364146.1024229896;3940106.9877286963;0.0;52
1;364146.1024229896;3940106.9877286963;0.0;53
1;364146.1024229896;3940106.9877286963;0.0;54
1;364146.1024229896;3940106.9877286963;0.0;55
1;364146.1024229896;3940106.9877286963;0.0;56
