zone;X;Y;time;idleDRTVehicles
1;332665.10821464274;3918672.99241132;0.0;0
1;332665.10821464274;3918672.99241132;0.0;1
1;332665.10821464274;3918672.99241132;0.0;2
1;332665.10821464274;3918672.99241132;0.0;3
1;332665.10821464274;3918672.99241132;0.0;4
1;332665.10821464274;3918672.99241132;0.0;5
1;332665.10821464274;3918672.99241132;0.0;6
1;332665.10821464274;3918672.99241132;0.0;7
1;332665.10821464274;3918672.99241132;0.0;8
1;332665.10821464274;3918672.99241132;0.0;9
1;332665.10821464274;3918672.99241132;28225.0;8
1;332665.10821464274;3918672.99241132;29222.0;9
1;332665.10821464274;3918672.99241132;29723.0;8
1;332665.10821464274;3918672.99241132;30635.0;9
1;332665.10821464274;3918672.99241132;35720.0;8
1;332665.10821464274;3918672.99241132;36008.0;7
1;332665.10821464274;3918672.99241132;36521.0;8
1;332665.10821464274;3918672.99241132;37829.0;7
1;332665.10821464274;3918672.99241132;38404.0;8
1;332665.10821464274;3918672.99241132;38728.0;7
1;332665.10821464274;3918672.99241132;39097.0;8
1;332665.10821464274;3918672.99241132;39702.0;9
1;332665.10821464274;3918672.99241132;51925.0;8
1;332665.10821464274;3918672.99241132;52219.0;9
1;332665.10821464274;3918672.99241132;54666.0;8
1;332665.10821464274;3918672.99241132;55435.0;9
1;332665.10821464274;3918672.99241132;56428.0;8
1;332665.10821464274;3918672.99241132;56812.0;9
1;332665.10821464274;3918672.99241132;57660.0;8
1;332665.10821464274;3918672.99241132;59105.0;9
1;332665.10821464274;3918672.99241132;60317.0;8
1;332665.10821464274;3918672.99241132;61193.0;9
1;332665.10821464274;3918672.99241132;61274.0;8
1;332665.10821464274;3918672.99241132;62503.0;9
1;332665.10821464274;3918672.99241132;64866.0;8
1;332665.10821464274;3918672.99241132;66565.0;9
1;332665.10821464274;3918672.99241132;75067.0;8
1;332665.10821464274;3918672.99241132;76084.0;9
