Line_ID
1066146063_0
103420698_1_r
1051249855_0_r
108019717_3_r
1067085761_0_r
152465073_0_r
112575023_0
1069477583_0_r
118483637_1
1009946395_0_r
1096890370_0
1020283639_0_r
1025871527_0
107060844_4_r
105462376_0_r
102147674_0_r
