vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;11726.5;5547.88;6178.61;5547.88
drtC4;15654.02;8908.93;6745.09;9344.16
drtC1;30953.78;14504.69;16449.09;14504.69
drtC2;48934.52;16701.77;32232.75;17286.28
drtC0;106437.37;39107.52;67329.85;39107.52
drtC5;18858.27;11026.11;7832.16;11026.11
drtC6;49671.04;27987.26;21683.78;31449.88
