Iteration	bike	car	drt	pt	ride	walk
0	0.0	0.0	0.0	1.0	0.0	0.0
1	0.02302466816929627	0.026796894565489608	2.5043826696719256E-4	0.910202228900576	0.012334084648134234	0.027391685449536688
2	0.04169797145003756	0.046800651139494116	4.2261457550713747E-4	0.837950788880541	0.02221074380165289	0.05091723015276734
3	0.056880791384923614	0.06217129977460556	5.634861006761833E-4	0.7831517655897822	0.028612572001001754	0.06862008514901077
4	0.06874530428249437	0.0760862759829702	6.260956674179815E-4	0.7357563235662409	0.034920485850237916	0.08386551465063861
5	0.0776984723265715	0.08719947407963936	6.260956674179815E-4	0.6992236413724017	0.03941272226396193	0.09583959429000752
6	0.0859472827448034	0.09526045579764587	6.260956674179815E-4	0.6708771600300526	0.04412409216128224	0.1031649135987979
7	0.0910030052592036	0.10308665164037065	6.7305284247433E-4	0.6473672677185074	0.046064988730277985	0.11180503380916604
8	0.09713874279989983	0.10765715001252191	5.634861006761833E-4	0.629320060105184	0.048569371399949914	0.1167511895817681
9	0.10069183571249687	0.11250939143501126	6.7305284247433E-4	0.6139337590783872	0.05096418732782369	0.12122777360380667
10	0.10311795642374155	0.11651640370648635	6.887052341597796E-4	0.6023196844477836	0.05188767843726522	0.12546957175056347
11	0.10485537190082644	0.11931818181818182	6.260956674179815E-4	0.5917230152767343	0.05348422238918107	0.1299931129476584
12	0.10687453042824943	0.12100864012021037	6.10443275732532E-4	0.5850394440270473	0.05450162784873529	0.13196531430002503
13	0.10915977961432508	0.12271475081392437	7.356624092161282E-4	0.5788410969196093	0.05559729526671676	0.13295141497620835
14	0.11017718507387929	0.12371650388179314	8.295767593288255E-4	0.5742549461557725	0.05727210117705985	0.1337496869521663
15	0.11027109942399199	0.12485912847483095	8.452291510142749E-4	0.5698409717004759	0.05810167793638868	0.13608189331329829
16	0.11193025294264963	0.12485912847483095	8.295767593288255E-4	0.5676339844728274	0.05792950162784873	0.1368175557225144
17	0.1128380916604057	0.12546957175056347	7.669671925870273E-4	0.5654113448534936	0.05814863511144503	0.13736538943150514
18	0.11213373403456048	0.12706611570247933	8.452291510142749E-4	0.5641435011269722	0.05853994490358127	0.13727147508139242
19	0.111351114450288	0.12728524918607564	7.982719759579264E-4	0.5622808665164037	0.05897821187077385	0.13930628600050088
20	0.11338592536939644	0.12612697220135236	8.608815426997245E-4	0.5624217380415728	0.05766341096919609	0.13954107187578263
21	0.11258765339343851	0.12755133984472827	7.982719759579264E-4	0.5606060606060606	0.05828950663661407	0.1401671675432006
22	0.11301026796894566	0.1270817680941648	6.887052341597796E-4	0.5598077886301027	0.05910343100425745	0.14030803906836964
23	0.11369897320310543	0.12618958176809417	7.982719759579264E-4	0.5591034310042574	0.05897821187077385	0.14123153017781118
24	0.11432506887052342	0.12628349611820686	8.608815426997245E-4	0.5587121212121212	0.05925995492111195	0.14055847733533683
25	0.11443463561232156	0.12601740545955423	7.826195842724769E-4	0.5572251440020035	0.05980778863010268	0.14173240671174556
