runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;383;32233492.16;5430454.39;0.17;48864072.71;84160.55;14178.73;127582.44;1.52;1.11;0.36;138.82
NA;1;383;38048956.52;12142737.71;0.32;44134355.99;99344.53;31704.28;115233.31;1.16;1.29;0.15;57.71
NA;2;383;37076671.01;11532174.68;0.31;43632754.07;96805.93;30110.12;113923.64;1.18;1.28;0.17;65.14
NA;3;383;36491785.22;11260594.86;0.31;42494224.49;95278.81;29401.03;110950.98;1.16;1.28;0.16;59.48
NA;4;383;35813271.75;11016045.6;0.31;41732410.7;93507.24;28762.52;108961.91;1.17;1.28;0.19;72.63
NA;5;383;35323572.98;10854697.26;0.31;40906889.33;92228.65;28341.25;106806.5;1.16;1.28;0.17;66.2
NA;6;383;34802896.7;10590490.7;0.3;40657389.2;90869.18;27651.41;106155.06;1.17;1.28;0.18;67.5
NA;7;383;34525553.1;10426863.83;0.3;40601675.42;90145.05;27224.19;106009.6;1.18;1.28;0.17;65.69
NA;8;383;34402486.96;10588670.42;0.31;39783856.63;89823.73;27646.66;103874.3;1.16;1.28;0.15;56
NA;9;383;34254790.57;10367777.04;0.3;39642335.34;89438.1;27069.91;103504.79;1.16;1.28;0.16;61.64
NA;10;383;34281095.69;10406970.34;0.3;40058342.93;89506.78;27172.25;104590.97;1.17;1.28;0.17;64.55
NA;11;383;34427180.51;10461460.16;0.3;40113339.4;89888.2;27314.52;104734.57;1.17;1.29;0.18;70.67
NA;12;383;34308758.11;10507219.35;0.31;39803724.43;89579;27433.99;103926.17;1.16;1.29;0.17;65.61
NA;13;383;34167533.81;10338161.84;0.3;40012768.4;89210.27;26992.59;104471.98;1.17;1.29;0.15;57
NA;14;383;34061010.92;10321778.02;0.3;39662595.23;88932.14;26949.81;103557.69;1.16;1.29;0.17;66.01
NA;15;383;34025478.72;10333474.79;0.3;39315493.51;88839.37;26980.35;102651.42;1.16;1.29;0.19;72.48
NA;16;383;34028206.13;10371852.58;0.3;39596530.48;88846.49;27080.56;103385.2;1.16;1.29;0.17;63.34
NA;17;383;33913923.18;10356028.31;0.31;39383767.22;88548.1;27039.24;102829.68;1.16;1.29;0.18;68.34
NA;18;383;34000039.63;10330812.45;0.3;39395953.28;88772.95;26973.4;102861.5;1.16;1.29;0.15;57.83
NA;19;383;33608919.54;10182345.08;0.3;38904516.65;87751.75;26585.76;101578.37;1.16;1.29;0.17;64.9
NA;20;383;33744902.14;10274406.88;0.3;39129467.85;88106.79;26826.13;102165.71;1.16;1.29;0.17;66.6
