runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;14555.65;13272.01;0;0;0
NA;2;18221.53;22792.2;0;0;0
NA;3;33387.1;31415.81;0;0;0
NA;4;42640.95;39042.54;0;0;0
NA;5;56515.19;50898.34;5323.51;0;0
NA;6;78113.54;70788.22;0;0;0
NA;7;48311.48;52224.26;0;0;0
NA;8;60837.48;73867.98;728.19;0;0
NA;9;51555.73;84329.67;5110.62;885.22;0
NA;10;86148.2;136179.94;2746.2;0;0
NA;11;105522.12;136933.69;3911.99;0;0
NA;12;93772.81;112983.69;0;0;0
NA;13;89064.01;91155.49;2621.38;0;0
NA;14;95413.31;88621.85;0;0;0
NA;15;76958.11;99636.62;17440.21;2321.46;0
NA;16;88228.6;118029.61;13353.67;4116.22;0
NA;17;65005.98;106077.43;25611.46;0;0
NA;18;87910.37;148112.31;10021.1;1412.47;0
NA;19;71080.21;127817.6;19343.44;2412.38;0
NA;20;70578.78;103211.33;10084.24;1412.47;0
