runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;17;0;0;NaN;0;0;0;0;NaN;NaN;1;17
NA;1;17;195210.44;49554.09;0.25;145656.35;11482.97;2914.95;8568.02;0.75;1.34;0.77;13.09
NA;2;17;316811.41;102850.42;0.32;215680.79;18635.97;6050.02;12687.11;0.68;1.49;0.81;13.84
NA;3;17;542105.11;119333.44;0.22;430533.51;31888.54;7019.61;25325.5;0.79;1.32;0.71;12.09
NA;4;17;518688.98;125123.6;0.24;434944.47;30511.12;7360.21;25584.97;0.84;1.24;0.77;13.09
NA;5;17;574539.13;163224.49;0.28;502205.3;33796.42;9601.44;29541.49;0.87;1.2;0.77;13.09
NA;6;17;629116.8;184434.39;0.29;555400.97;37006.87;10849.08;32670.65;0.88;1.25;0.65;11.13
NA;7;17;709579.69;179466.34;0.25;647786.78;41739.98;10556.84;38105.1;0.91;1.24;0.66;11.3
NA;8;17;718720.1;169470.51;0.24;583896.7;42277.65;9968.85;34346.86;0.81;1.4;0.57;9.7
NA;9;17;856711.16;191746.77;0.22;801103.56;50394.77;11279.22;47123.74;0.94;1.24;0.61;10.3
NA;10;17;869067.81;187614.66;0.22;834812.85;51121.64;11036.16;49106.64;0.96;1.18;0.67;11.31
NA;11;17;766522.35;200525.69;0.26;701399.46;45089.55;11795.63;41258.79;0.92;1.2;0.67;11.42
NA;12;17;808124.65;228867.5;0.28;585308.96;47536.74;13462.79;34429.94;0.72;1.44;0.61;10.32
NA;13;17;784352.23;196313.76;0.25;599282.83;46138.37;11547.87;35251.93;0.76;1.4;0.65;11.02
NA;14;17;730305.76;155592.88;0.21;589028.87;42959.16;9152.52;34648.76;0.81;1.31;0.67;11.43
NA;15;17;770364.36;191884.09;0.25;591489.38;45315.55;11287.3;34793.49;0.77;1.45;0.65;11
NA;16;17;802358.5;200196.32;0.25;622229.22;47197.56;11776.25;36601.72;0.78;1.4;0.64;10.83
NA;17;17;732880.06;183985.54;0.25;698392.38;43110.59;10822.68;41081.9;0.95;1.19;0.7;11.95
NA;18;17;817783.81;205171.34;0.25;753860.34;48104.93;12068.9;44344.73;0.92;1.21;0.71;12
NA;19;17;716544.58;175849.92;0.25;683380.51;42149.68;10344.11;40198.85;0.95;1.19;0.71;12
NA;20;17;709875.49;179772;0.25;663216.79;41757.38;10574.82;39012.75;0.93;1.18;0.75;12.68
