runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;70906.68;257530.8;39378.35;8647.01;0
NA;2;131733.22;513664.1;108002.87;62612.02;6387.13
NA;3;185793.55;599587.76;137284.67;78058.44;28106.9
NA;4;232870.43;705904.96;116996.9;79284.16;20470.46
NA;5;249955.03;742528.24;203342.3;42927.94;9095.9
NA;6;288553.46;753873.72;146370.13;69093.38;4450.05
NA;7;309034.24;899449.79;217341.04;53426.08;15505.91
NA;8;360978.87;956823.83;233883.46;70476.43;17228.31
NA;9;326837.17;1034363.89;231394.36;61655.6;7272.43
NA;10;339151.16;1005743.97;253095.36;73126.13;14123.65
NA;11;329719.39;969112.34;232334.51;75712.85;14853.12
NA;12;362344.38;1039425.01;200318.89;43842.02;2948.81
NA;13;352084.53;1030779.76;185607.73;54950.71;7310.32
NA;14;364337.49;962931.32;186859.6;20854.78;10661.27
NA;15;329617.09;887951.75;188571.3;73289.41;8805.42
NA;16;332760.74;959073.37;208497.19;93099.94;26931.66
NA;17;313262.09;940643.26;185176.99;58766.09;17725.61
NA;18;326352.36;907010.75;212597.35;36199.02;4057.62
NA;19;329137.59;895292.07;165838.09;72700.58;18762.3
NA;20;348874.96;960801.83;213395.84;53357.44;3141.97
