runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;31827.89;16718.01;0;0;0
NA;2;50609.52;36586.68;0;0;0
NA;3;59555.3;77712.86;10591.66;0;0
NA;4;77838.55;80399.81;5755.82;0;0
NA;5;107754.51;115698.2;5754.6;0;0
NA;6;138037.84;151801.91;13845.3;1052.96;0
NA;7;145488.57;162956.89;11131.86;1051.73;0
NA;8;166827.27;207547.16;20837.68;1052.96;0
NA;9;140904.9;232099.47;13016.54;0;0
NA;10;172481;185892.22;6445.25;0;0
NA;11;145160.53;167810.83;16899.94;3739.88;0
NA;12;140223.15;147318.81;5546.89;0;0
NA;13;154872.2;179176.85;2521.16;0;0
NA;14;145985.02;168694.97;22750.89;1570.33;0
NA;15;112312.18;188137.02;10551.86;0;0
NA;16;114047.65;193044.56;21915.46;986.41;0
NA;17;141483.72;195072.37;20016.04;0;0
NA;18;119679.78;180439.65;15550.98;787.56;0
NA;19;116047.05;188871.27;8056.43;787.56;0
NA;20;122127.58;205760.23;2992.37;0;0
